                                                                     distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 8.7188577e-01; 1.7994667e-01; 0.0000000e+00; 1.1410961e-02; 6.4151850e+02; 0.0000000e+00; 9.5456001e-01
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; 9.8859137e-17; 1.0668611e-02; 0.0000000e+00; 1.0668596e-02; 2.0368207e+03; 0.0000000e+00; 4.5447521e+02
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 0.0000000e+00; 5.2854659e-02; 0.0000000e+00; 5.0379297e-02; 5.8494904e+00; 0.0000000e+00; 1.1972874e+00
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 4.0212661e-04; 6.9386223e-03; 5.6329516e-04; 1.1398250e-03; 9.1292231e+01; 7.0401710e+00; 2.8978790e+00
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 6.6785192e-01; 1.1902652e-01; 0.0000000e+00; 3.4017288e-03; 1.5351770e+03; 0.0000000e+00; 1.3267236e+00
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 9.7222147e-01; 9.7687503e-02; 0.0000000e+00; 2.7659454e-02; 3.3459804e+03; 0.0000000e+00; 1.3665609e+01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 2.4571314e+00; 2.5340421e-01; 0.0000000e+00; 3.2424199e-02; 5.8264756e+03; 0.0000000e+00; 4.2577165e+00
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 0.0000000e+00; 1.7664189e-02; 0.0000000e+00; 1.7664096e-02; 1.7726232e+03; 0.0000000e+00; 3.9552108e+02
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 4.8056895e+00; 3.5663409e-01; 0.0000000e+00; 9.1502440e-02; 2.8710900e+04; 0.0000000e+00; 3.0457795e+00
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 4.3660990e-01; 3.9794161e-02; 0.0000000e+00; 1.4578064e-02; 1.5425046e+03; 0.0000000e+00; 5.4509615e+01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 5.3290176e-01; 2.2413389e-02; 0.0000000e+00; 4.5372402e-03; 3.2947385e+02; 0.0000000e+00; 1.7131121e+01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 9.3736612e-01; 9.3506643e-02; 0.0000000e+00; 2.5701660e-02; 3.2235570e+03; 0.0000000e+00; 1.7233557e+01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 2.5106332e+00; 3.4881470e-01; 0.0000000e+00; 3.6081670e-02; 6.5094483e+03; 0.0000000e+00; 6.1208587e+00
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 0.0000000e+00; 1.7821108e-02; 3.2014649e-03; 1.7820417e-02; 1.6788899e+03; 2.5726472e+02; 3.7458727e+02
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 5.8803046e+00; 4.2228549e-01; 0.0000000e+00; 1.4697074e-01; 2.4106999e+04; 0.0000000e+00; 6.4461115e+00
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 4.8659408e-01; 1.3481139e-01; 2.8648268e-03; 8.1876651e-02; 2.1179824e+03; 1.4414481e+02; 2.1161957e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 1.0708054e+00; 2.0048086e-01; 0.0000000e+00; 1.6490764e-01; 3.1689766e+03; 0.0000000e+00; 2.6787045e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 7.1139578e-01; 2.3125415e-02; 3.3730441e-03; 3.7053920e-02; 1.5804726e+03; 2.5953551e+02; 5.4732299e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_t_6.7566598e02_nm_output_analysis; 1.4727551e+00; 2.5900075e-01; 0.0000000e+00; 3.1138281e-01; 2.7599777e+03; 0.0000000e+00; 1.7037370e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 2.9903669e-01; 5.5212138e-02; 2.4275040e-03; 3.0675810e-02; 1.8580407e+03; 1.9530084e+02; 2.0651381e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 4.9427032e-01; 5.1413482e-02; 2.6748521e-03; 1.6833900e-02; 1.4750405e+04; 2.8379510e+02; 3.9188764e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 7.4192509e-01; 2.2180392e-01; 0.0000000e+00; 1.3283668e-01; 4.5142742e+02; 0.0000000e+00; 1.3994285e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 9.6175715e-01; 5.5243846e-02; 0.0000000e+00; 3.5364026e-02; 3.5709992e+03; 0.0000000e+00; 1.0990185e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 1.6270404e+00; 1.8031994e-01; 0.0000000e+00; 7.5068733e-02; 5.8711115e+03; 0.0000000e+00; 5.9416472e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 2.5063911e+00; 2.0310873e-01; 0.0000000e+00; 9.0441495e-02; 7.6391587e+03; 0.0000000e+00; 2.5980290e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 2.3928038e+00; 1.8104459e-01; 0.0000000e+00; 1.6186562e-01; 6.9676122e+03; 0.0000000e+00; 1.0514371e+02
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 2.3574627e+00; 3.5007641e-02; 0.0000000e+00; 2.5803111e-02; 4.1506400e+03; 0.0000000e+00; 3.6039235e+02
