                                                                     distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 1.0984996e+00; 5.0442281e-01; 7.8517945e-01; 8.0403832e-01; 7.3322474e+02; 1.8006404e+02; 3.8570464e+01
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; 3.7365242e-17; 8.6264118e-02; 3.8843196e-02; 8.6264068e-02; 2.2216842e+04; 1.4262540e+04; 4.9572446e+03
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 0.0000000e+00; 1.0617929e+00; 1.1670824e+00; 1.0821752e+00; 8.1103447e+01; 6.9106111e+01; 1.7487951e+01
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 4.7707815e-04; 1.9408223e-01; 2.0100151e-01; 2.0327259e-01; 2.2246552e+03; 2.1318426e+03; 4.6990386e+02
RCDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 1.1466643e+00; 2.4048601e-01; 4.7216419e-01; 4.9344145e-01; 2.4345528e+03; 5.5540763e+02; 1.1531589e+02
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 1.6197644e+00; 1.6865560e-01; 3.4580835e-01; 5.3171942e-01; 4.2960331e+03; 1.1144649e+03; 1.2754224e+02
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 2.3277608e+00; 4.0374723e-01; 5.7673295e-01; 8.0827012e-01; 3.7887945e+03; 4.4265513e+02; 5.4195994e+01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 0.0000000e+00; 2.4999295e-02; 3.3442270e-02; 2.4998548e-02; 1.4244359e+04; 8.9616594e+03; 3.1783258e+03
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 1.3564096e+01; 8.5357895e-02; 8.2383519e-01; 1.1126038e+00; 9.0920816e+04; 1.9455830e+02; 2.5311716e+01
RCDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 1.0408164e+00; 9.5348863e-02; 1.5533480e-01; 1.5491961e-01; 5.3349536e+03; 3.2171011e+03; 7.1681095e+02
