   1.0.1 # v: lpa-xrd version
5.00e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404600 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
    2048 # nd: number of dislocations in the input file
 1000000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.928253365738086E-01  7.4706236E-06  1.045922292137954E-03  1.9667737E-05  9.749778794952626E-01  1.4338823E-05  2.065812260638880E-03  3.6363566E-05  9.483227390505210E-01  2.1986171E-05  3.020969978556765E-03  5.1259619E-05  9.143351391414155E-01  3.0238343E-05  3.890029871494674E-03  6.4427017E-05  8.743485510615145E-01  3.8884843E-05  4.644777746950430E-03  7.5901873E-05  2.553294680043320E-05          0
  10.0  9.742368136207455E-01  1.5416504E-05  2.056704381240054E-03  3.6543864E-05  9.134977329252775E-01  3.0850798E-05  3.891800140490401E-03  6.4509089E-05  8.288639949623474E-01  4.8029618E-05  5.319746531193718E-03  8.5785758E-05  7.300680239129637E-01  6.5111381E-05  6.287926114259376E-03  1.0092778E-04  6.256105649577535E-01  8.0599884E-05  6.809022245887591E-03  1.1097631E-04  2.333279129130476E-05          0
  15.0  9.463556415696073E-01  2.3844140E-05  3.010914327240819E-03  5.1567054E-05  8.276257797940181E-01  4.8562266E-05  5.322778506143922E-03  8.5862359E-05  6.770226765988405E-01  7.3383938E-05  6.586427182159940E-03  1.0654681E-04  5.217043731549511E-01  9.3707550E-05  6.960495972986692E-03  1.1720869E-04  3.806729949724549E-01  1.0787937E-04  6.674147236149763E-03  1.2192200E-04  2.202958149458361E-05          0
  20.0  9.107454461348334E-01  3.2666552E-05  3.872789438438603E-03  6.4835606E-05  7.273970478114217E-01  6.5895794E-05  6.289092523647802E-03  1.0102968E-04  5.206119118650979E-01  9.3877301E-05  6.957527157020395E-03  1.1723012E-04  3.381121299455277E-01  1.1136456E-04  6.460326136805299E-03  1.2274975E-04  2.011863295508447E-01  1.1996969E-04  5.281160205946316E-03  1.2425718E-04  2.109859590105077E-05          0
  25.0  8.688145651781232E-01  4.1750106E-05  4.629879826829926E-03  7.6375442E-05  6.216639439569511E-01  8.1427164E-05  6.817941732518669E-03  1.1108049E-04  3.788644989028153E-01  1.0806620E-04  6.621246430562731E-03  1.2194259E-04  2.006216584271883E-01  1.1999935E-04  5.263023554658306E-03  1.2426059E-04  9.399885587062409E-02  1.2378655E-04  3.442922854708140E-03  1.2476933E-04  2.038485271251408E-05          0
  30.0  8.219766477294116E-01  5.0840423E-05  5.261283215116073E-03  8.6251655E-05  5.175188582177191E-01  9.4362354E-05  6.942995541536451E-03  1.1728256E-04  2.619744332024784E-01  1.1665796E-04  5.849304169702897E-03  1.2375862E-04  1.100103829654364E-01  1.2339523E-04  3.799528896406777E-03  1.2470247E-04  3.976713409443187E-02  1.2465058E-04  1.637214150632688E-03  1.2498825E-04  1.979668999580502E-05          0
  35.0  7.714845354548679E-01  5.9763995E-05  5.765684674874524E-03  9.4556157E-05  4.202678564219598E-01  1.0442933E-04  6.779566143680242E-03  1.2085591E-04  1.727920249068962E-01  1.2124744E-04  4.804300050181724E-03  1.2442325E-04  5.636523369757689E-02  1.2446523E-04  2.289476746721224E-03  1.2492052E-04  1.598821356894137E-02  1.2484336E-04  1.712994825169142E-04  1.2503724E-04  1.930174607522151E-05          0
  40.0  7.185778293767359E-01  6.8324257E-05  6.157435458775350E-03  1.0141436E-04  3.333579200198710E-01  1.1179741E-04  6.346225552666564E-03  1.2278864E-04  1.091310183887936E-01  1.2341806E-04  3.641941260928472E-03  1.2470929E-04  2.748497344075410E-02  1.2476645E-04  9.961503292036248E-04  1.2501566E-04  6.671662883026119E-03  1.2487956E-04 -7.892874431448119E-04  1.2505625E-04  1.887436038738007E-05          0
  45.0  6.643713476484864E-01  7.6368808E-05  6.419233734952580E-03  1.0697838E-04  2.585470843650062E-01  1.1689560E-04  5.751831908385954E-03  1.2377917E-04  6.628345453840971E-02  1.2432070E-04  2.523052772905589E-03  1.2488231E-04  1.325660132686672E-02  1.2485940E-04  9.648526455026721E-06  1.2503926E-04  2.989631359685530E-03  1.2489870E-04 -1.168434974627411E-03  1.2505690E-04  1.849746774133523E-05          0
  50.0  6.098858371398709E-01  8.3784186E-05  6.576600303153080E-03  1.1140955E-04  1.963054490350604E-01  1.2023138E-04  5.026333037397451E-03  1.2427742E-04  3.902477974626905E-02  1.2466049E-04  1.546373128147568E-03  1.2498890E-04  6.679783113939045E-03  1.2487792E-04 -6.779232838532588E-04  1.2505778E-04  1.125329988573522E-03  1.2494078E-04 -1.150682088497712E-03  1.2502746E-04  1.816030860567786E-05          0
