   1.0.0 # v: lpa-xrd version
5.00e+13 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
    2048 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.954771922197401E-01  1.6481027E-05 -5.998847494146111E-05  3.3734609E-05  9.854317916429807E-01  3.0253411E-05 -1.308352974992583E-04  6.0029502E-05  9.712745316287119E-01  4.4216333E-05 -2.265664576540952E-04  8.3015069E-05  9.538696644739939E-01  5.8165101E-05 -3.019817476511798E-04  1.0343186E-04  9.338523840049893E-01  7.1903955E-05 -3.906945745336158E-04  1.2171511E-04  1.683249015003868E-05          0
  10.0  9.846763896567889E-01  3.2876931E-05 -1.273032463429878E-04  6.0583027E-05  9.530149095829901E-01  5.9752596E-05 -2.929162277179104E-04  1.0375793E-04  9.108942423922806E-01  8.6347645E-05 -4.733471696571409E-04  1.3836709E-04  8.621804985822206E-01  1.1148905E-04 -6.612894293227981E-04  1.6632872E-04  8.094958982955688E-01  1.3472593E-04 -8.027893296485906E-04  1.8895107E-04  1.460989326242057E-05          0
  15.0  9.692175429919477E-01  4.9027923E-05 -2.046966982929855E-04  8.4062349E-05  9.095377790370878E-01  8.8008386E-05 -4.860853992571497E-04  1.3871442E-04  8.348527657468635E-01  1.2442557E-04 -7.147098501683468E-04  1.7848847E-04  7.536682201921028E-01  1.5653295E-04 -9.504312902589320E-04  2.0732525E-04  6.715370614305961E-01  1.8383165E-04 -1.185585044839225E-03  2.2798532E-04  1.330222420125687E-05          0
  20.0  9.500432257560604E-01  6.4847372E-05 -2.973705327088597E-04  1.0494955E-04  8.589967110915431E-01  1.1431732E-04 -6.531259178403333E-04  1.6698082E-04  7.519389487388857E-01  1.5753248E-04 -9.101435945706626E-04  2.0754896E-04  6.430404292404186E-01  1.9250562E-04 -1.246078611249600E-03  2.3359079E-04  5.405322940950007E-01  2.1922909E-04 -1.363245900311392E-03  2.5002605E-04  1.237458153066256E-05          0
  25.0  9.278384763255844E-01  8.0232378E-05 -3.905352965997056E-04  1.2368073E-04  8.041711985516469E-01  1.3845389E-04 -7.747121055795001E-04  1.8980619E-04  6.679327279739311E-01  1.8543148E-04 -1.076217963698435E-03  2.2834311E-04  5.387749294639761E-01  2.1978319E-04 -1.360720788063582E-03  2.5013230E-04  4.259574099270094E-01  2.4294006E-04 -1.422598350077257E-03  2.6239726E-04  1.165606640999858E-05          0
  30.0  9.031398827276272E-01  9.5148516E-05 -4.381430121993845E-04  1.4052007E-04  7.472133398347159E-01  1.6022579E-04 -8.539231413686067E-04  2.0815204E-04  5.866228725812400E-01  2.0828967E-04 -1.243155620470919E-03  2.4305357E-04  4.453026154099350E-01  2.3951321E-04 -1.484322508674552E-03  2.6052410E-04  3.310819154455418E-01  2.5787789E-04 -1.375787585639553E-03  2.6942721E-04  1.107270586785261E-05          0
  35.0  8.764551792574088E-01  1.0948461E-04 -4.837356380252012E-04  1.5566337E-04  6.897914029926424E-01  1.7955510E-04 -1.003712147370654E-03  2.2282120E-04  5.105372305552804E-01  2.2647048E-04 -1.444836124289849E-03  2.5339852E-04  3.643603857728965E-01  2.5324181E-04 -1.543859783335073E-03  2.6710519E-04  2.553350445235762E-01  2.6684594E-04 -1.207403181025191E-03  2.7354132E-04  1.057526066601440E-05          0
  40.0  8.481925024314598E-01  1.2318153E-04 -5.544270873713692E-04  1.6929029E-04  6.330996369006898E-01  1.9655229E-04 -1.202201723493226E-03  2.3446050E-04  4.409708794842532E-01  2.4059810E-04 -1.588786673191665E-03  2.6067600E-04  2.962162644737344E-01  2.6246156E-04 -1.466057599558030E-03  2.7133459E-04  1.963651044134857E-01  2.7202222E-04 -1.021115472586975E-03  2.7604040E-04  1.014180374912071E-05          0
  45.0  8.186809947925607E-01  1.3625967E-04 -6.397711650369283E-04  1.8152452E-04  5.781510119903895E-01  2.1127313E-04 -1.400582207049954E-03  2.4364935E-04  3.787911227407161E-01  2.5127127E-04 -1.624932568257509E-03  2.6582790E-04  2.399722954316519E-01  2.6841896E-04 -1.240627976441119E-03  2.7417439E-04  1.510312352409343E-01  2.7498752E-04 -7.735323229535056E-04  2.7756001E-04  9.762690117383721E-06          0
  50.0  7.882730686215971E-01  1.4866514E-04 -7.504072969666317E-04  1.9248418E-04  5.256717090534287E-01  2.2384692E-04 -1.534329424303185E-03  2.5088360E-04  3.240305616503105E-01  2.5916164E-04 -1.514519162573071E-03  2.6953533E-04  1.941732123815801E-01  2.7224922E-04 -1.025758834734053E-03  2.7605920E-04  1.163240090144206E-01  2.7678033E-04 -6.608500218474238E-04  2.7839331E-04  9.424628455799750E-06          0
