harmonic Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]
       1     35.4  5.3e-09  4.977605903065498e-05  1.680899876487085e+03
       1     47.2  1.3e-08  4.976110281911059e-05  1.683876896504212e+03
       1     59.0  4.4e-08  4.971942266409410e-05  1.692105521671126e+03
       1     70.8  8.3e-08  4.966194781656401e-05  1.703419570865107e+03
       1     82.6  1.3e-07  4.959453134582370e-05  1.716697558090324e+03
       1     94.4  1.7e-07  4.952033650832793e-05  1.731352765253075e+03
       1    106.2  2.2e-07  4.944154763061490e-05  1.746987079883377e+03
       1    118.0  2.9e-07  4.935254529913580e-05  1.764761611162251e+03
       1    129.8  3.6e-07  4.925086932289333e-05  1.785245199354500e+03
       1    141.6  4.6e-07  4.913222538036639e-05  1.809423344021614e+03
       1    153.4  5.9e-07  4.899049996632974e-05  1.838741572736194e+03
       1    165.2  8.1e-07  4.879630616668724e-05  1.879775670117980e+03
       1    177.0  1.2e-06  4.849943890301656e-05  1.944655591237466e+03
       2     35.4  3.0e-07  4.959706417218140e-05  7.849196514817414e+02
       2     47.2  6.4e-07  4.941254090823917e-05  8.000892326549144e+02
       2     59.0  9.8e-07  4.921652957816981e-05  8.164118361650940e+02
       2     70.8  1.5e-06  4.898856575302335e-05  8.357444150863013e+02
       2     82.6  2.4e-06  4.864992557387976e-05  8.653434060225410e+02
       2     94.4  5.0e-06  4.798819541341137e-05  9.269655290598498e+02
       3     35.4  1.5e-06  4.912201724370512e-05  5.339314662014287e+02
       3     47.2  2.7e-06  4.878524251407276e-05  5.516936003359574e+02
       3     59.0  6.6e-06  4.811734712753847e-05  5.888788074830147e+02
       4     35.4  4.5e-06  4.852561377889688e-05  4.131822597144993e+02
       4     47.2  1.9e-05  4.711548233520870e-05  4.725285547889347e+02
       5     35.4  2.2e-05  4.703835708452275e-05  3.744418462230381e+02
