;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RRDD-E-5e13-A;9.16e-01;0.281379;0.062978;0.134591;0.062978;18457.389;765.810;227.813;243.913
RRDD-E-5e13-B;2.22e-15;0.118305;0.040745;0.112204;0.040745;1880.593;1416.879;408.850;451.281
RRDD-E-5e14-A;3.41e-01;0.057464;0.034901;0.071626;0.034901;761.872;683.125;173.313;217.578
RRDD-E-5e14-B;4.57e-01;0.059970;0.015150;0.038260;0.015150;1744.463;1276.616;314.343;406.607
RRDD-E-5e15-A;3.47e-05;0.012259;0.005055;0.011089;0.005055;611.140;590.580;135.557;188.102
RRDD-E-5e15-B;3.07e-16;0.018093;0.011433;0.018016;0.011433;1299.276;1258.639;289.774;400.881
RRDD-R-5e13-A;7.30e-01;0.142172;0.058319;0.163546;0.058319;13280.815;7497.533;3344.973;2387.991
RRDD-R-5e13-B;1.85e+00;0.146504;0.022614;0.072653;0.022614;30852.019;6181.506;1814.831;1968.831
RRDD-R-5e14-A;1.12e+00;0.071225;0.032191;0.085709;0.032191;9521.990;6794.046;2198.823;2163.927
RRDD-R-5e14-B;7.68e-01;0.001761;0.007531;0.011792;0.007531;5354.499;5533.073;1268.740;1762.303
RRDD-R-5e15-A;1.20e-17;0.032518;0.026468;0.032516;0.026468;6817.260;6562.694;1521.111;2090.241
RRDD-R-5e15-B;1.61e-01;0.018888;0.000791;0.003390;0.000791;5869.639;4973.545;1075.394;1584.092
RDD-5e13;0.00e+00;0.031070;0.013082;0.030726;0.013082;6026.107;5549.496;1342.111;1767.534
RDD-5e14;1.00e+00;0.085654;0.011111;0.030782;0.011111;17354.752;5969.591;1508.636;1901.336
RDD-5e15;7.12e-05;0.001454;0.002258;0.000731;0.002258;5222.997;5278.295;1159.241;1681.155
RCDD-D-5e13-A;1.24e+00;0.165807;0.191425;3106.428444;0.191425;462.665;223.067;5.367;71.048
RCDD-D-5e13-B;8.15e-01;0.060402;0.159449;1.555477;0.159449;642.534;460.532;29.713;146.681
RCDD-D-5e13-C;5.00e-01;0.021913;0.083511;0.508254;0.083511;1667.664;1148.134;112.076;365.685
RCDD-D-5e14-A;1.67e+00;0.433602;0.313249;1764.055970;0.313250;190.914;51.603;0.361;16.436
RCDD-D-5e14-B;1.38e+00;0.269799;0.397919;1771.601948;0.397919;209.799;71.102;0.606;22.646
RCDD-D-5e14-C;1.19e+00;0.030958;0.396672;1526.278589;0.396672;272.869;119.508;1.318;38.064
RCDD-D-5e15-A;1.56e+00;0.644150;0.454732;196.299010;0.454729;87.997;13.078;0.018;4.165
RCDD-D-5e15-B;1.43e+00;0.573907;0.740749;196.304482;0.740751;91.025;13.432;0.021;4.278
RCDD-D-5e15-C;1.02e+00;0.457883;1.003436;193.727104;1.003438;92.043;14.105;0.031;4.492
RCDD-E-5e13;1.54e+00;0.163072;0.260533;0.252871;0.260533;1184.181;712.026;152.979;226.783
RCDD-E-5e14;3.00e+00;0.493754;0.592062;0.777287;0.592061;1140.123;206.899;31.329;65.898
RCDD-E-5e15;7.72e-01;0.868151;1.466397;1.091681;1.466398;57.361;25.829;7.501;8.227
RCDD-R-5e13;2.20e-03;0.248621;0.281330;0.287745;0.281330;1158.393;1138.155;234.071;362.506
RCDD-R-5e14;3.71e+00;0.452997;0.591793;0.756991;0.591793;2865.444;316.192;48.303;100.708
RCDD-R-5e15;1.10e+00;1.163633;1.503260;1.285026;1.503261;61.178;32.799;8.619;10.447
