;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RRDD-E-5e13-A;6.89e-01;0.195438;0.008738;0.048261;0.008738;35679.948;27.717;32.866;8.828
RRDD-E-5e13-B;3.99e-15;0.037513;0.011643;0.035315;0.011643;240.924;74.280;49.260;23.659
RRDD-E-5e14-A;1.94e-01;0.011747;0.011450;0.016631;0.011450;40.657;37.005;10.483;11.786
RRDD-E-5e14-B;2.96e-01;0.043793;0.007894;0.017612;0.007894;490.380;54.920;24.248;17.492
RRDD-E-5e15-A;4.01e-05;0.001898;0.006359;0.001454;0.006359;5.678;18.300;0.952;5.829
RRDD-E-5e15-B;1.69e-16;0.006339;0.007149;0.006320;0.007149;44.934;55.800;9.992;17.773
RRDD-R-5e13-A;8.29e-01;0.029915;0.008014;0.037593;0.008014;2358.379;394.925;697.450;125.785
RRDD-R-5e13-B;1.55e+00;0.121211;0.007444;0.036168;0.007444;33461.227;277.028;341.425;88.234
RRDD-R-5e14-A;5.18e-01;0.023038;0.010832;0.027653;0.010832;1678.747;543.369;377.334;173.065
RRDD-R-5e14-B;6.42e-01;0.014714;0.003636;0.004093;0.003636;373.432;132.687;30.689;42.261
RRDD-R-5e15-A;2.95e-17;0.006201;0.008401;0.006201;0.008401;306.964;444.964;68.488;141.723
RRDD-R-5e15-B;1.33e-01;0.016515;0.005861;0.000727;0.005861;847.977;225.017;5.310;71.669
RDD-5e13;0.00e+00;0.016851;0.007642;0.016717;0.007642;484.468;245.891;107.023;78.317
RDD-5e14;1.24e+00;0.088074;0.005042;0.018936;0.005042;17812.597;214.643;177.755;68.364
RDD-5e15;1.75e-04;0.003520;0.008322;0.004200;0.008322;125.674;346.344;33.560;110.312
RCDD-D-5e13-A;5.82e-01;0.218614;0.009667;6401.750797;0.009667;142.564;4.928;9.964;1.570
RCDD-D-5e13-B;4.52e-01;0.107078;0.013237;0.559139;0.013237;166.818;18.119;14.969;5.771
RCDD-D-5e13-C;1.75e-01;0.063856;0.008238;0.154573;0.008238;382.846;38.060;34.860;12.122
RCDD-D-5e14-A;1.00e+00;0.351116;0.013405;622.780497;0.013405;85.550;1.274;1.367;0.406
RCDD-D-5e14-B;1.43e+00;0.366161;0.024601;633.975719;0.024601;88.364;3.424;2.050;1.091
RCDD-D-5e14-C;1.50e+00;0.332735;0.032109;840.532014;0.032109;199.222;8.930;3.576;2.844
RCDD-D-5e15-A;4.76e-01;0.381472;0.011139;22.917690;0.011149;46.342;0.166;0.118;0.053
RCDD-D-5e15-B;1.01e+00;0.433124;0.005540;22.863470;0.005547;46.088;0.072;0.126;0.023
RCDD-D-5e15-C;5.07e-01;0.514639;0.001083;31.404934;0.001076;47.471;0.013;0.148;0.004
RCDD-E-5e13;1.15e+00;0.096695;0.012349;0.101518;0.012349;533.038;27.076;27.839;8.624
RCDD-E-5e14;3.84e+00;0.281781;0.036800;0.182899;0.036800;2143.347;18.147;5.960;5.780
RCDD-E-5e15;5.88e-01;0.284443;0.007794;0.392355;0.007792;21.078;0.191;1.842;0.061
RCDD-R-5e13;8.21e-03;0.072461;0.014484;0.079178;0.014484;165.758;55.950;34.684;17.820
RCDD-R-5e14;4.19e+00;0.310297;0.036444;0.149758;0.036444;5047.430;30.510;9.245;9.718
RCDD-R-5e15;6.53e-01;0.179640;0.006159;0.256360;0.006156;24.308;0.208;1.617;0.066
