                                                   distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; 1.2488547e-01; 1.4714395e-02; 3.4089669e-03; 9.0647417e-03; 1.7899066e+01; 3.9770622e+00; 1.8689195e+00
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; 2.7402175e-01; 8.8822471e-02; 0.0000000e+00; 2.9582550e-01; 6.9337045e+00; 0.0000000e+00; 3.2545585e+00
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; 0.0000000e+00; 8.0395670e-03; 3.1375825e-03; 8.1139137e-03; 1.6506205e+01; 8.0161422e+00; 3.7118035e+00
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; 9.3034368e-02; 3.0882285e-02; 0.0000000e+00; 1.8551073e-02; 8.1001981e+00; 0.0000000e+00; 8.1093594e-01
RRDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; 0.0000000e+00; 8.1926531e-03; 2.7733013e-03; 9.9774341e-03; 3.3464897e+00; 1.4624960e+00; 8.9349416e-01
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; 8.3882244e-02; 1.4079433e-02; 2.3262461e-03; 1.1437901e-02; 1.4681595e+01; 2.6715464e+00; 2.1138979e+00
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; 1.2236153e-01; 1.4221454e-02; 3.9893579e-03; 1.0268452e-02; 3.5005419e+01; 9.8255209e+00; 4.3179098e+00
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; 2.6572730e-01; 8.4982666e-02; 0.0000000e+00; 2.9742131e-01; 1.3356630e+01; 0.0000000e+00; 6.5335316e+00
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; 1.0644807e-01; 1.0416736e-02; 4.1103694e-03; 9.9340210e-03; 5.8352580e+01; 2.3692151e+01; 9.8295242e+00
RRDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; 4.1920450e-02; 1.3233634e-02; 6.9924814e-03; 1.8122175e-02; 5.3756083e+00; 4.3297386e+00; 1.5769165e+00
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; 5.1012710e-02; 1.4564351e-02; 7.5121870e-03; 1.6412791e-02; 1.2123965e+01; 9.4291728e+00; 2.9659728e+00
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; 1.1392800e-01; 3.0146150e-02; 2.1132604e-03; 1.3835890e-02; 5.5429447e+01; 4.8798664e+00; 4.9467698e+00
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; 1.4405123e-01; 5.5660202e-02; 2.6323852e-03; 1.2312142e-02; 1.7976243e+02; 1.3134964e+01; 9.8735444e+00
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; 2.6982463e-01; 8.5070420e-02; 0.0000000e+00; 2.9870733e-01; 2.6744932e+01; 0.0000000e+00; 1.2950312e+01
RRDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; 1.4099687e-01; 2.6527226e-02; 2.8560843e-03; 7.4872535e-03; 2.5524856e+02; 3.3343404e+01; 1.5309729e+01
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; 1.2494314e+00; 4.6874889e-02; 2.4183570e-03; 4.0113173e-02; 6.3324095e+02; 5.9377871e+01; 1.0248424e+02
