   1.0.0 # v: lpa-xrd version
2.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
    8192 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.736378723924557E-01  3.8568857E-05 -2.058702351523300E-03  8.1258617E-05  9.149914696638316E-01  8.1991960E-05 -3.969405885700259E-03  1.3624997E-04  8.402133843193726E-01  1.2386607E-04 -5.733927352756363E-03  1.7404414E-04  7.605728442537474E-01  1.5762575E-04 -7.319892060291812E-03  2.0129689E-04  6.824796010634923E-01  1.8319289E-04 -8.855433333365430E-03  2.2185220E-04  9.770313018310951E-05          0
  10.0  9.127870208813750E-01  8.5221053E-05 -3.897912801666150E-03  1.3658246E-04  7.594213899949716E-01  1.5846075E-04 -7.243498282487769E-03  2.0132006E-04  6.081483101720297E-01  2.0281184E-04 -1.008092910197159E-02  2.3757745E-04  4.757905132387459E-01  2.3004241E-04 -1.191134373106862E-02  2.5833781E-04  3.629299529306449E-01  2.4825915E-04 -1.242071635463043E-02  2.6940407E-04  8.862886053054880E-05          0
  15.0  8.359335805145907E-01  1.2794026E-04 -5.544573179793976E-03  1.7432372E-04  6.074653955718935E-01  2.0312102E-04 -1.004393533188066E-02  2.3759003E-04  4.167845545163012E-01  2.4011176E-04 -1.236727594416239E-02  2.6476657E-04  2.691663100757734E-01  2.6039321E-04 -1.160375954379767E-02  2.7483584E-04  1.632215896325105E-01  2.7090436E-04 -7.676057029754739E-03  2.7772721E-04  8.332295074977821E-05          0
  20.0  7.552786926549536E-01  1.6140367E-04 -7.106664943710504E-03  2.0142577E-04  4.752655537760094E-01  2.3021805E-04 -1.194546926632434E-02  2.5833649E-04  2.691705265314502E-01  2.6037079E-04 -1.158284228297402E-02  2.7485734E-04  1.361635330961416E-01  2.7303741E-04 -6.144547328754390E-03  2.7802419E-04  6.124244654981598E-02  2.7776837E-04  1.499205962883288E-03  2.7816860E-04  7.958351008731305E-05          0
  25.0  6.772222538128471E-01  1.8618367E-04 -8.632862206663681E-03  2.2189200E-04  3.627513083889784E-01  2.4830931E-04 -1.252501516933922E-02  2.6938771E-04  1.631594300775386E-01  2.7090305E-04 -7.914585911265206E-03  2.7773528E-04  6.126374973543754E-02  2.7775373E-04  1.506517110452329E-03  2.7817873E-04  1.777920526153391E-02  2.7936077E-04  1.034253967301735E-02  2.7827193E-04  7.670756937788216E-05          0
  30.0  6.040328761771929E-01  2.0469212E-04 -1.002229434810074E-02  2.3762320E-04  2.689922944484424E-01  2.6038343E-04 -1.162193479187263E-02  2.7486956E-04  9.274700441032717E-02  2.7601562E-04 -2.413064461374996E-03  2.7818353E-04  2.335031993234546E-02  2.7923618E-04  8.552394198991902E-03  2.7821730E-04  3.720656223532257E-03  2.7935829E-04  1.668874191472182E-02  2.7870450E-04  7.434088680561720E-05          0
  35.0  5.361072649690029E-01  2.1913835E-04 -1.113698271623831E-02  2.4953152E-04  1.939049742696004E-01  2.6817837E-04 -9.403570950304840E-03  2.7722952E-04  4.893771493771177E-02  2.7834986E-04  3.584545237831247E-03  2.7813486E-04  7.216227049533780E-03  2.7940139E-04  1.452337367638558E-02  2.7854146E-04  1.848647831313088E-03  2.7915029E-04  1.776195261929878E-02  2.7911399E-04  7.233929676924163E-05          0
  40.0  4.732424150008850E-01  2.3087493E-04 -1.191747896738703E-02  2.5834186E-04  1.361709049294807E-01  2.7306135E-04 -6.245496288378708E-03  2.7801144E-04  2.329813014383897E-02  2.7926520E-04  8.858076741107326E-03  2.7819010E-04  2.436304048040529E-03  2.7929216E-04  1.787756932445135E-02  2.7885477E-04  3.658997203701190E-03  2.7926206E-04  1.220994354738831E-02  2.7921279E-04  7.060770926058652E-05          0
  45.0  4.151456144126364E-01  2.4052641E-04 -1.243835897839159E-02  2.6480226E-04  9.271569681761258E-02  2.7601883E-04 -2.427137038546817E-03  2.7819067E-04  1.004763605614484E-02  2.7939276E-04  1.361228860091921E-02  2.7846600E-04  2.167510433379584E-03  2.7913543E-04  1.721680955385824E-02  2.7916976E-04  4.870255449529593E-03  2.7986235E-04  3.782092035412641E-03  2.7878892E-04  6.907326864383031E-05          0
  50.0  3.617397569227249E-01  2.4850027E-04 -1.245132241661052E-02  2.6944043E-04  6.099968457933407E-02  2.7778203E-04  1.394959629824758E-03  2.7815887E-04  4.042653025610745E-03  2.7939387E-04  1.702051549818078E-02  2.7866269E-04  3.462567089844282E-03  2.7925256E-04  1.196825823398661E-02  2.7921663E-04  4.391213522828842E-03  2.7988448E-04 -3.570885191764191E-03  2.7885660E-04  6.770666683757053E-05          0
  55.0  3.128875582857689E-01  2.5508787E-04 -1.212998362284416E-02  2.7267822E-04  3.864001970060783E-02  2.7875928E-04  5.188164175251851E-03  2.7814774E-04  1.951206434747726E-03  2.7927094E-04  1.848347117529663E-02  2.7891482E-04  4.522936013374620E-03  2.7976359E-04  5.284467055579493E-03  2.7885453E-04  3.564473890043893E-03  2.7955393E-04 -7.330186912602865E-03  2.7920399E-04  6.647569403029988E-05          0
  60.0  2.686714629760863E-01  2.6047100E-04 -1.143672612990668E-02  2.7485793E-04  2.352688630777693E-02  2.7920656E-04  8.573670121755927E-03  2.7823702E-04  2.219672333762190E-03  2.7915666E-04  1.747874649047806E-02  2.7915160E-04  4.650171732994276E-03  2.8002061E-04 -9.417537839214701E-04  2.7870181E-04  2.519850989232102E-03  2.7929693E-04 -7.604964885491998E-03  2.7949127E-04  6.535265557913619E-05          0
  65.0  2.291007666994196E-01  2.6479290E-04 -1.046891147015320E-02  2.7628738E-04  1.364292531012578E-02  2.7938961E-04  1.167863127481650E-02  2.7835768E-04  3.293887984363850E-03  2.7918319E-04  1.400014095135999E-02  2.7925256E-04  4.281600065179871E-03  2.7975549E-04 -5.606293822201365E-03  2.7900076E-04  1.422463549228600E-03  2.7918837E-04 -6.456624294003962E-03  2.7965748E-04  6.429889589310524E-05          0
  70.0  1.940038792804420E-01  2.6822219E-04 -9.219689456479347E-03  2.7719214E-04  7.496685494594228E-03  2.7937589E-04  1.441405573901600E-02  2.7855583E-04  4.131415173549876E-03  2.7949779E-04  9.105247201197500E-03  2.7906121E-04  3.163170825431441E-03  2.7942342E-04 -7.811668114063825E-03  2.7933528E-04  1.921081338033029E-05  2.7975971E-04 -4.995275645199144E-03  2.7911124E-04  6.332317397798381E-05          0
  75.0  1.631023100807115E-01  2.7092948E-04 -7.723356801155485E-03  2.7773434E-04  4.003424106072894E-03  2.7936209E-04  1.639640663975398E-02  2.7869302E-04  4.730020382103790E-03  2.7985986E-04  3.732189281556125E-03  2.7880071E-04  2.387185352659148E-03  2.7920919E-04 -7.694113169168992E-03  2.7958104E-04 -3.578169766701918E-04  2.7968290E-04 -3.025110651041018E-03  2.7920944E-04  6.239533835057513E-05          0
  80.0  1.361987888089216E-01  2.7305089E-04 -6.090113695122050E-03  2.7803467E-04  2.302408914938744E-03  2.7934295E-04  1.758632707917433E-02  2.7880327E-04  4.784831844656968E-03  2.7994461E-04 -8.482862765609297E-04  2.7878015E-04  1.772650437044777E-03  2.7920790E-04 -6.710179740499120E-03  2.7962824E-04  1.732548455430289E-04  2.7959578E-04 -2.069563894012263E-03  2.7930782E-04  6.149743424350567E-05          0
  85.0  1.128520636072941E-01  2.7471089E-04 -4.355171208385906E-03  2.7817767E-04  1.767239314229007E-03  2.7920139E-04  1.779435042107853E-02  2.7902529E-04  4.434070215743512E-03  2.7978985E-04 -4.318537374053927E-03  2.7896220E-04  4.116842230890606E-04  2.7953676E-04 -5.055123147984990E-03  2.7933271E-04  2.036375120553491E-03  2.7951562E-04 -7.599590333925099E-04  2.7938673E-04  6.064919899862280E-05          0
