                                                   distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; 2.4639600e-02; 1.8325302e-01; 4.3870801e-02; 1.6228213e-02; 3.2234307e+04; 1.7685027e+03; 1.2586250e+03
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; 0.0000000e+00; 9.0532394e-02; 5.4892870e-02; 9.0532332e-02; 1.1885082e+04; 4.2559505e+03; 2.6519186e+03
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; 1.0828669e-02; 1.1737964e-01; 1.1489694e-01; 5.6380559e-02; 1.4560175e+04; 1.0196494e+03; 6.7388513e+02
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; 2.1033246e-01; 1.7254013e-01; 5.7111834e-02; 1.5725693e-02; 4.0992844e+04; 1.6081108e+03; 9.7592539e+02
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; 1.4616180e+00; 1.2089235e-01; 4.4324093e-04; 4.3346998e-02; 1.8066221e+04; 2.4037868e+03; 7.6846796e+02
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; 1.7920723e-17; 1.2019407e-02; 3.8707668e-03; 1.2018307e-02; 6.2529909e+03; 2.9373121e+03; 1.3952184e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; 2.7797066e-03; 3.8619220e-02; 1.2077088e-02; 3.5887375e-03; 7.7599197e+03; 3.0819296e+03; 1.2904323e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; 0.0000000e+00; 1.0396190e-01; 9.7894426e-02; 1.0396171e-01; 1.4551911e+04; 6.8910050e+03; 3.2469643e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; 7.7963763e-03; 3.3049436e-02; 4.1374460e-02; 6.7222798e-02; 7.4614657e+03; 2.0334045e+03; 7.6656122e+02
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; 4.7985614e-03; 6.8944600e-02; 2.5120117e-02; 1.2987458e-02; 1.0214678e+04; 3.3818303e+03; 1.3754551e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; 2.9273751e-04; 6.7479521e-03; 1.2733421e-02; 1.7147702e-02; 6.1765271e+03; 2.9396606e+03; 1.2761981e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; 5.6731277e-03; 8.8139682e-03; 3.6157478e-02; 5.9092593e-02; 6.7496528e+03; 2.4095663e+03; 9.3548580e+02
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; 9.6572987e-02; 7.3832703e-03; 8.3302888e-02; 1.6700951e-01; 6.6110464e+03; 1.7325210e+03; 5.0252271e+02
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; 1.8832404e+00; 1.5341548e-01; 1.1065786e-01; 1.3514583e-01; 3.3977298e+04; 8.0852583e+03; 4.4927485e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; 1.2516293e-02; 2.5851580e-02; 7.0573767e-02; 1.1853072e-01; 8.7895610e+03; 2.1337644e+03; 7.2826874e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; 1.5747800e-02; 1.0344947e-02; 9.9536436e-03; 1.4952926e-01; 6.1358540e+03; 2.9562179e+03; 7.7945936e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; 2.9949452e-02; 1.9508290e-02; 8.3678951e-03; 3.4098190e-01; 7.0418503e+03; 3.6815069e+03; 5.2250600e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_output_analysis; 3.7230532e+00; 1.0860434e-01; 1.9450806e-02; 1.4399688e-03; 3.1912308e+04; 3.3562617e+03; 1.3615975e+03
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_output_analysis; 1.4538072e-04; 3.4978542e-02; 1.0552401e-02; 3.5682387e-02; 5.0883041e+03; 2.8152020e+03; 1.1314056e+03
