                                                   distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; 0.0000000e+00; 1.5240583e-03; 1.9768044e-03; 1.5240366e-03; 1.5494234e+02; 2.0447742e+02; 3.4571748e+01
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; 0.0000000e+00; 3.7991276e-03; 0.0000000e+00; 3.7991199e-03; 1.5918562e+03; 0.0000000e+00; 3.5519029e+02
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; 2.0949122e-03; 2.0835136e-02; 0.0000000e+00; 4.7217132e-03; 2.1782769e+03; 0.0000000e+00; 7.5164844e+01
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; 4.8070539e-01; 4.4596590e-02; 1.8884969e-03; 9.7545941e-04; 1.8993628e+04; 2.5811356e+02; 2.6984163e+01
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; 3.0327944e-01; 4.4081487e-02; 0.0000000e+00; 4.4013793e-03; 9.5870505e+03; 0.0000000e+00; 7.7132125e+01
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; 0.0000000e+00; 6.5994879e-03; 1.6150580e-03; 6.5993539e-03; 8.0525129e+02; 1.9826458e+02; 1.7967125e+02
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; 2.5430481e-03; 1.8328696e-02; 1.4925200e-03; 8.7255938e-03; 3.1800468e+03; 1.9508657e+02; 2.1543761e+02
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; 0.0000000e+00; 2.1942978e-02; 0.0000000e+00; 2.1942986e-02; 1.0203467e+04; 0.0000000e+00; 2.2767004e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; 2.4494706e-03; 1.1791906e-02; 2.6768583e-03; 2.0539776e-02; 1.6399263e+03; 2.9612186e+02; 3.1894004e+02
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; 2.2078458e-03; 1.7222371e-02; 2.2006942e-03; 5.4603203e-03; 3.6160819e+03; 3.4029599e+02; 1.7892557e+02
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; 3.0637304e-04; 2.4687925e-03; 7.4149324e-04; 3.4777675e-03; 2.9309341e+02; 9.6138964e+01; 9.2272816e+01
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; 1.6200199e-03; 6.2928359e-03; 3.5676392e-03; 1.4581455e-02; 7.6996405e+02; 3.8373247e+02; 2.6157739e+02
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; 7.8651110e-02; 1.2225236e-02; 0.0000000e+00; 5.3832993e-02; 1.4972004e+03; 0.0000000e+00; 5.1840741e+02
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; 1.0028362e+00; 3.1514752e-02; 0.0000000e+00; 3.0356940e-02; 2.0245853e+04; 0.0000000e+00; 4.1066889e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; 4.0976177e-03; 1.2543683e-02; 0.0000000e+00; 3.5904465e-02; 1.8241085e+03; 0.0000000e+00; 5.2062681e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; 6.2630197e-03; 2.3256458e-02; 4.8033057e-03; 7.1929884e-02; 1.8462789e+03; 5.3131120e+02; 6.8102044e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; 1.1018759e-02; 5.1957081e-02; 0.0000000e+00; 1.3674666e-01; 5.0685685e+03; 0.0000000e+00; 8.6571726e+02
