   0.9.7 # v: lpa-ouput version
5.17E+13 # d: dislocation density [m^-2]
    real # t: A(L) transformation
      W2 # m: model function
      F2 # f: filter
# j Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]
  1      4.5  2.9e-06  5.768266464151086e-05  1.606806433904572e+02
  1      6.0  2.7e-06  5.553555346875950e-05  2.015207748211377e+02
  2      4.5  6.6e-06  5.172766421133210e-05  1.214656817173415e+02
  2      6.0  5.9e-06  5.067458880447949e-05  1.363941968859797e+02
  3      4.5  2.2e-06  4.667084929443836e-05  1.327052057588680e+02
  3      6.0  2.2e-06  4.688870302759004e-05  1.292569733070267e+02
  3      7.5  3.8e-06  4.726300438712923e-05  1.236829941000889e+02
  3      9.0  4.1e-06  4.747816078532210e-05  1.206601122268155e+02
  3     10.5  4.1e-06  4.759365632712330e-05  1.190942795007180e+02
  3     12.0  4.0e-06  4.764566042922191e-05  1.184043053932600e+02
  3     13.5  3.8e-06  4.765089185264194e-05  1.183357235412816e+02
  3     15.0  3.7e-06  4.763498440875437e-05  1.185429566801403e+02
  3     16.5  3.7e-06  4.760610706472009e-05  1.189179990696297e+02
  3     18.0  3.7e-06  4.756692314148425e-05  1.194265142287855e+02
  3     19.5  3.7e-06  4.751805983124012e-05  1.200614054476145e+02
  3     21.0  4.0e-06  4.745879712893283e-05  1.208337499924798e+02
  3     22.5  4.3e-06  4.738684069346855e-05  1.217763252574165e+02
  3     24.0  4.8e-06  4.730407712140645e-05  1.228682219371132e+02
  3     25.5  5.5e-06  4.720954985555635e-05  1.241267149638447e+02
  3     27.0  6.3e-06  4.710536113745057e-05  1.255290991196073e+02
  3     28.5  7.3e-06  4.699033472467702e-05  1.270971232927040e+02
  4      4.5  9.2e-06  4.729052567055420e-05  9.188165234308548e+01
  4      6.0  9.7e-06  4.784481298226407e-05  8.641084401131933e+01
  5      4.5  6.8e-06  4.852157114274380e-05  6.447526974819351e+01
  5      6.0  7.8e-06  4.883111580546767e-05  6.248566039805362e+01
  5      7.5  6.7e-06  4.884648871990982e-05  6.239056737308061e+01
  5      9.0  6.8e-06  4.874565097597767e-05  6.301002298751290e+01
  5     10.5  8.6e-06  4.857893903247031e-05  6.404182655765827e+01
  5     12.0  1.1e-05  4.838734459460928e-05  6.524559637864476e+01
  5     13.5  1.4e-05  4.818131744324055e-05  6.656464904782793e+01
  5     15.0  1.8e-05  4.795399499805458e-05  6.805268686604037e+01
