   0.9.7 # v: lpa-ouput version
5.17E+13 # d: dislocation density [m^-2]
    real # t: A(L) transformation
    GUW2 # m: model function
      F2 # f: filter
# j Lmax[nm]    error          density[nm-2]     cut-off-radius[nm]
  1      4.5  2.9e-06  5.768265930676200e-05  6.512893164847474e+02
  1      6.0  2.7e-06  5.553555039209493e-05  8.168271218987327e+02
  2      4.5  6.6e-06  5.172766245431933e-05  2.461692821904607e+02
  2      6.0  5.9e-06  5.067458648577666e-05  2.764242551518279e+02
  3      4.5  2.2e-06  4.667084500282075e-05  1.792986763059454e+02
  3      6.0  2.2e-06  4.688870554225464e-05  1.746396135063173e+02
  3      7.5  3.8e-06  4.726300601140853e-05  1.671086072468595e+02
  3      9.0  4.1e-06  4.747815516107706e-05  1.630245067316980e+02
  3     10.5  4.1e-06  4.759365598257583e-05  1.609088044036402e+02
  3     12.0  4.0e-06  4.764565772391571e-05  1.599766178081200e+02
  3     13.5  3.8e-06  4.765089304860498e-05  1.598839060503403e+02
  3     15.0  3.7e-06  4.763498490445777e-05  1.601639014061708e+02
  3     16.5  3.7e-06  4.760610717343003e-05  1.606706349677680e+02
  3     18.0  3.7e-06  4.756692431771521e-05  1.613576762393032e+02
  3     19.5  3.7e-06  4.751805474621551e-05  1.622155709327786e+02
  3     21.0  4.0e-06  4.745879764015845e-05  1.632589939128850e+02
  3     22.5  4.3e-06  4.738683871768510e-05  1.645325556201097e+02
  3     24.0  4.8e-06  4.730408015660982e-05  1.660077486902808e+02
  3     25.5  5.5e-06  4.720954890867398e-05  1.677081832077490e+02
  3     27.0  6.3e-06  4.710535979644873e-05  1.696029408407875e+02
  3     28.5  7.3e-06  4.699033793869789e-05  1.717214140934940e+02
  4      4.5  9.2e-06  4.729052023311894e-05  9.310633132358502e+01
  4      6.0  9.7e-06  4.784480989622617e-05  8.756258228006163e+01
  5      4.5  6.8e-06  4.852157412251674e-05  5.226767647964463e+01
  5      6.0  7.8e-06  4.883111432681299e-05  5.065479368405183e+01
  5      7.5  6.7e-06  4.884647844941157e-05  5.057775289247500e+01
  5      9.0  6.8e-06  4.874566492108252e-05  5.107980950661282e+01
  5     10.5  8.6e-06  4.857894095091614e-05  5.191630291465903e+01
  5     12.0  1.1e-05  4.838734969938693e-05  5.289214864423361e+01
  5     13.5  1.4e-05  4.818131677927755e-05  5.396147244600650e+01
  5     15.0  1.8e-05  4.795400837107322e-05  5.516771148158313e+01
