   1.0.0 # v: lpa-xrd version
2.00e+14 # d: dislocation density [m^-2]
 1  1  0 # z: direction of 'l' (line vector) [uvw]
 1  1  0 # b: Burgers vector direction [uvw]
 2  0  0 # g: diffraction vector direction (hkl)
0.250000 # C: contrast coefficient [1]
0.404940 # a: cell parameter [nm]
    6400 # s: side of the region of interest [nm] PBC1
0.345000 # nu: Poisson's number [1]
    8192 # nd: number of dislocations in the input file
  200000 # np: number of random points
#    L                   cos1       err_cos1                   sin1       err_sin1                   cos2       err_cos2                   sin2       err_sin2                   cos3       err_cos3                   sin3       err_sin3                   cos4       err_cos4                   sin4       err_sin4                   cos5       err_cos5                   sin5       err_sin5                   eps2       nrpo
   5.0  9.693540085309398E-01  3.6958164E-05  4.013610626371244E-03  8.8108267E-05  8.968439589473296E-01  7.8239079E-05  7.135699065833239E-03  1.5297728E-04  7.985444397457474E-01  1.2189738E-04  8.841753128060714E-03  1.9958475E-04  6.879361803720463E-01  1.6198796E-04  9.095936459550244E-03  2.3116936E-04  5.755589067159247E-01  1.9576637E-04  8.221871852592870E-03  2.5134413E-04  1.111310589486668E-04          0
  10.0  8.945077010069251E-01  8.1565070E-05  7.133960303989949E-03  1.5340619E-04  6.863390761160501E-01  1.6296008E-04  9.152348747866837E-03  2.3127415E-04  4.682720448047575E-01  2.2261599E-04  6.553379649180836E-03  2.6352643E-04  2.897452271269958E-01  2.5611420E-04  2.797829677687505E-03  2.7431313E-04  1.649869367153535E-01  2.7126181E-04  5.168013647614195E-04  2.7753689E-04  1.023367356711535E-04          0
  15.0  7.935852632703791E-01  1.2623032E-04  8.791074458645482E-03  2.0007378E-04  4.669414426474361E-01  2.2306687E-04  6.490673267887854E-03  2.6355605E-04  2.203608882559076E-01  2.6545413E-04  1.229870159538109E-03  2.7637738E-04  8.783571080881293E-02  2.7680578E-04 -5.076913248171656E-06  2.7872188E-04  3.195733125133474E-02  2.7890796E-04  1.414431172434133E-03  2.7935706E-04  9.703825127534825E-05          0
  20.0  6.811012277449584E-01  1.6609171E-04  9.018996264357289E-03  2.3158800E-04  2.883500026833600E-01  2.5643621E-04  2.731795459475817E-03  2.7429985E-04  8.760007260071696E-02  2.7681455E-04 -3.709442440323792E-05  2.7872583E-04  2.305207624222273E-02  2.7908759E-04  1.920338603236036E-03  2.7944694E-04  7.132113000826741E-03  2.7924072E-04  2.939341619171942E-03  2.7964536E-04  9.326161995691281E-05          0
  25.0  5.679028586103547E-01  1.9908217E-04  8.092835890292350E-03  2.5168031E-04  1.638632639009020E-01  2.7137936E-04  3.799472847277124E-04  2.7755795E-04  3.212384996744826E-02  2.7891730E-04  1.313359603961915E-03  2.7934788E-04  7.043473951141281E-03  2.7924723E-04  3.006904322556259E-03  2.7963876E-04  1.482872930440372E-03  2.7954258E-04  1.040628412909984E-03  2.7943316E-04  9.030156980836003E-05          0
  30.0  4.614250924631372E-01  2.2482573E-04  6.488151579487283E-03  2.6374821E-04  8.715330564386120E-02  2.7685273E-04 -6.060262844231022E-05  2.7872112E-04  1.249280771009034E-02  2.7921306E-04  2.636580157383469E-03  2.7957509E-04  2.224874055473832E-03  2.7944472E-04  1.721759374240491E-03  2.7952083E-04 -2.525046921214217E-04  2.7949472E-04 -1.197959482358953E-03  2.7948363E-04  8.786739565021419E-05          0
  35.0  3.661060618752265E-01  2.4385255E-04  4.554720444022541E-03  2.7063081E-04  4.449641820890221E-02  2.7859162E-04  8.116348908277287E-04  2.7922195E-04  5.647508559498270E-03  2.7926943E-04  2.558552239146459E-03  2.7964278E-04  2.304396227589079E-04  2.7959452E-04 -3.699536968058017E-04  2.7939013E-04 -1.115514048550925E-03  2.7936609E-04 -1.148239986809802E-03  2.7960669E-04  8.583334227321670E-05          0
  40.0  2.841137102431401E-01  2.5721256E-04  2.713052102105262E-03  2.7439286E-04  2.281791205453813E-02  2.7910554E-04  1.789843085039646E-03  2.7943758E-04  2.403461858048466E-03  2.7945276E-04  1.436735980985254E-03  2.7951236E-04 -5.302755636032051E-04  2.7942984E-04 -1.547791421606045E-03  2.7953933E-04 -1.406083016144593E-03  2.7934174E-04  3.994460213590014E-04  2.7964552E-04  8.405608431288664E-05          0
  45.0  2.159930996017051E-01  2.6610259E-04  1.267700284686480E-03  2.7642623E-04  1.236037735482775E-02  2.7918076E-04  2.573669985908484E-03  2.7960643E-04  4.342143886448547E-04  2.7961146E-04  5.545308472985921E-05  2.7937249E-04 -1.363287266844012E-03  2.7937194E-04 -8.295555255450784E-04  2.7960146E-04 -1.001499006210394E-03  2.7955805E-04  1.039856968997582E-03  2.7943499E-04  8.247960989606226E-05          0
  50.0  1.611249638298698E-01  2.7170590E-04  3.073899727499903E-04  2.7756838E-04  7.157400445340183E-03  2.7920323E-04  2.741440287571586E-03  2.7968146E-04 -5.084374766196802E-04  2.7956317E-04 -1.299143837272048E-03  2.7941377E-04 -1.702972897999524E-03  2.7933580E-04  3.673890261811324E-04  2.7965101E-04  3.714427738475934E-04  2.7965573E-04  4.319938941463108E-04  2.7934410E-04  8.108491484073096E-05          0
