;fluctuation;density;density;density;density;Re (nm);Re (nm);Re (nm);Re (nm)
Distribution model;;GUW1;GUW2;W1;W2;GUW1;GUW2;W1;W2
RDD-5e13;1.94e-03;0.008;0.011;0.010;0.011;83;74;27;47
RDD-5e14;8.08e-03;0.024;0.007;0.016;0.007;293;66;71;42
RRDD-E-5e13-A;1.12e-01;0.085;0.007;0.017;0.007;136;5;6;3
RRDD-E-5e13-B;4.17e-02;0.009;0.009;0.023;0.009;21;12;14;8
RRDD-E-5e14-A;5.55e-02;0.020;0.009;0.010;0.009;19;6;3;4
RRDD-E-5e14-B;2.69e-03;0.005;0.010;0.012;0.010;11;15;7;9
RRDD-R-5e13-A;1.44e-01;0.019;0.007;0.017;0.007;337;95;135;61
RRDD-R-5e13-B;1.13e-02;0.017;0.008;0.017;0.008;192;61;61;39
RRDD-R-5e14-A;1.24e-01;0.020;0.006;0.013;0.006;296;74;86;47
RRDD-R-5e14-B;4.05e-01;0.051;0.008;0.003;0.008;473;61;12;39
RCDD-E-5e13;2.16e-02;0.029;0.012;0.096;0.012;17;4;16;3
RCDD-E-5e14;4.24e-02;0.113;0.008;0.175;0.008;8;0;3;0
RCDD-R-5e13;7.39e-02;0.066;0.010;0.072;0.010;44;6;18;4
RCDD-R-5e14;2.96e-02;0.069;0.009;0.138;0.009;7;1;5;0
RCDD-D-5e13-A;4.55e-02;0.296;0.009;8931.241;0.009;39;1;3;0
RCDD-D-5e13-B;2.33e-02;0.110;0.007;0.254;0.007;16;1;3;1
RCDD-D-5e13-C;2.05e-03;0.071;0.012;0.069;0.012;49;7;7;4
RCDD-D-5e14-A;5.17e-02;0.457;0.019;392.654;0.019;26;0;0;0
RCDD-D-5e14-B;3.92e-02;0.517;0.009;450.594;0.009;21;0;0;0
RCDD-D-5e14-C;2.76e-02;0.403;0.012;681.169;0.012;8;0;1;0
