4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9677060	 0.0000005	-0.0244901	 0.0000008	 0.8935381	 0.0000007	-0.0436542	 0.0000010	 0.7944504	 0.0004066	-0.0546098	 0.0006433	 0.6847949	 0.0005384	-0.0567789	 0.0007387	 0.5744305	 0.0006505	-0.0511023	 0.0007958	 0.0346072	168249
  23.6	 0.8913242	 0.0000007	-0.0414307	 0.0000010	 0.6818224	 0.0000010	-0.0538344	 0.0000012	 0.4686070	 0.0007363	-0.0361771	 0.0008272	 0.3034984	 0.0008290	-0.0080567	 0.0008614	 0.1948010	 0.0008650	 0.0125345	 0.0008752	 0.0178341	164757
  35.4	 0.7896423	 0.0000009	-0.0494232	 0.0000011	 0.4672387	 0.0000012	-0.0338310	 0.0000013	 0.2408205	 0.0008498	 0.0053644	 0.0008677	 0.1280793	 0.0008764	 0.0180317	 0.0008784	 0.0707486	 0.0008843	 0.0090855	 0.0008809	 0.0118051	161382
  47.2	 0.6770164	 0.0000010	-0.0487353	 0.0000012	 0.3004516	 0.0000013	-0.0043332	 0.0000013	 0.1274622	 0.0008741	 0.0178775	 0.0008764	 0.0580376	 0.0008840	 0.0049290	 0.0008781	 0.0260641	 0.0008803	 0.0012657	 0.0008842	 0.0088311	158071
  59.0	 0.5642320	 0.0000011	-0.0409574	 0.0000012	 0.1917075	 0.0000013	 0.0150127	 0.0000013	 0.0707674	 0.0008794	 0.0074547	 0.0008768	 0.0253935	 0.0008790	 0.0007346	 0.0008812	 0.0101608	 0.0008804	 0.0119444	 0.0008802	 0.0071277	154892
  70.8	 0.4596553	 0.0000012	-0.0284423	 0.0000013	 0.1272232	 0.0000013	 0.0183021	 0.0000013	 0.0371286	 0.0008794	-0.0008551	 0.0008758	 0.0100754	 0.0008789	 0.0090126	 0.0008774	 0.0069381	 0.0008757	 0.0211308	 0.0008803	 0.0059694	151712
  82.6	 0.3684919	 0.0000012	-0.0141642	 0.0000013	 0.0867854	 0.0000013	 0.0099330	 0.0000013	 0.0186005	 0.0008762	 0.0019993	 0.0008757	 0.0027789	 0.0008746	 0.0173145	 0.0008774	 0.0060130	 0.0008776	 0.0150945	 0.0008744	 0.0051930	148614
  94.4	 0.2932058	 0.0000012	-0.0007574	 0.0000013	 0.0578801	 0.0000013	 0.0014178	 0.0000013	 0.0074383	 0.0008772	 0.0081999	 0.0008710	 0.0049626	 0.0008723	 0.0187486	 0.0008757	-0.0005184	 0.0008751	 0.0100689	 0.0008732	 0.0046161	145694
 106.2	 0.2334590	 0.0000013	 0.0097583	 0.0000013	 0.0357897	 0.0000013	-0.0018357	 0.0000013	-0.0012540	 0.0008706	 0.0140246	 0.0008736	 0.0041952	 0.0008727	 0.0137971	 0.0008715	 0.0049139	 0.0008735	 0.0076765	 0.0008707	 0.0042035	142684
 118.0	 0.1869648	 0.0000013	 0.0159028	 0.0000013	 0.0204001	 0.0000013	-0.0009626	 0.0000013	-0.0032800	 0.0008658	 0.0177868	 0.0008744	 0.0010571	 0.0008689	 0.0103428	 0.0008715	 0.0010930	 0.0008718	 0.0022974	 0.0008687	 0.0038138	139812
 129.8	 0.1514419	 0.0000013	 0.0168680	 0.0000013	 0.0112290	 0.0000013	 0.0018273	 0.0000013	-0.0001030	 0.0008654	 0.0177941	 0.0008710	 0.0027304	 0.0008690	 0.0083725	 0.0008676	-0.0084846	 0.0008704	-0.0032197	 0.0008662	 0.0034438	136913
 141.6	 0.1247157	 0.0000013	 0.0136697	 0.0000013	 0.0063796	 0.0000013	 0.0050496	 0.0000013	 0.0011230	 0.0008649	 0.0139007	 0.0008679	 0.0015562	 0.0008683	 0.0046488	 0.0008646	-0.0147008	 0.0008670	-0.0069819	 0.0008657	 0.0031116	134048
 153.4	 0.1037877	 0.0000013	 0.0076688	 0.0000013	 0.0023594	 0.0000013	 0.0078553	 0.0000013	-0.0013554	 0.0008606	 0.0093031	 0.0008687	-0.0033152	 0.0008663	 0.0026829	 0.0008630	-0.0134068	 0.0008651	 0.0008057	 0.0008641	 0.0028402	131222
 165.2	 0.0862191	 0.0000012	 0.0005769	 0.0000013	-0.0009713	 0.0000012	 0.0113110	 0.0000013	-0.0008130	 0.0008599	 0.0062974	 0.0008660	-0.0089275	 0.0008639	 0.0019102	 0.0008620	-0.0089770	 0.0008631	 0.0026204	 0.0008628	 0.0026173	128625
 177.0	 0.0709815	 0.0000012	-0.0055483	 0.0000012	-0.0032079	 0.0000012	 0.0134663	 0.0000013	 0.0045590	 0.0008598	 0.0064422	 0.0008628	-0.0151000	 0.0008624	 0.0004249	 0.0008601	-0.0087503	 0.0008617	 0.0032761	 0.0008609	 0.0024355	126053
 188.8	 0.0576609	 0.0000012	-0.0099092	 0.0000012	-0.0036315	 0.0000012	 0.0121612	 0.0000012	 0.0095451	 0.0008603	 0.0056500	 0.0008590	-0.0161902	 0.0008593	 0.0007024	 0.0008599	-0.0039552	 0.0008618	 0.0008013	 0.0008576	 0.0022747	123467
 200.6	 0.0457746	 0.0000012	-0.0127876	 0.0000012	-0.0035065	 0.0000012	 0.0076250	 0.0000012	 0.0089201	 0.0008588	 0.0031840	 0.0008572	-0.0114783	 0.0008575	 0.0020502	 0.0008585	-0.0022068	 0.0008589	-0.0084062	 0.0008571	 0.0021386	120870
 212.4	 0.0360851	 0.0000012	-0.0138434	 0.0000012	-0.0038397	 0.0000012	 0.0031161	 0.0000012	 0.0017099	 0.0008548	 0.0001284	 0.0008581	-0.0051457	 0.0008560	 0.0004283	 0.0008569	-0.0022443	 0.0008574	-0.0059479	 0.0008554	 0.0020128	118292
 224.2	 0.0285900	 0.0000012	-0.0135818	 0.0000012	-0.0045743	 0.0000012	 0.0003982	 0.0000012	-0.0081282	 0.0008526	-0.0019167	 0.0008570	 0.0006964	 0.0008555	-0.0028109	 0.0008542	 0.0009062	 0.0008551	-0.0062434	 0.0008545	 0.0018916	115761
 236.0	 0.0233960	 0.0000012	-0.0129858	 0.0000012	-0.0046693	 0.0000012	 0.0008947	 0.0000012	-0.0161434	 0.0008518	-0.0025390	 0.0008545	 0.0046141	 0.0008537	-0.0080706	 0.0008528	-0.0012088	 0.0008524	-0.0063527	 0.0008540	 0.0017826	113222
 247.8	 0.0203578	 0.0000012	-0.0117549	 0.0000012	-0.0035081	 0.0000012	 0.0030270	 0.0000012	-0.0182393	 0.0008494	-0.0012689	 0.0008538	 0.0036975	 0.0008530	-0.0137192	 0.0008503	-0.0000479	 0.0008495	-0.0032399	 0.0008540	 0.0016876	110804
 259.6	 0.0190287	 0.0000012	-0.0110125	 0.0000012	 0.0012539	 0.0000012	 0.0041302	 0.0000012	-0.0138353	 0.0008495	 0.0015073	 0.0008508	 0.0024472	 0.0008506	-0.0151686	 0.0008497	-0.0036340	 0.0008499	-0.0026049	 0.0008505	 0.0016010	108312
 271.4	 0.0191679	 0.0000012	-0.0098264	 0.0000012	 0.0076385	 0.0000012	 0.0025828	 0.0000012	-0.0047608	 0.0008490	 0.0030241	 0.0008484	 0.0055883	 0.0008484	-0.0128447	 0.0008489	-0.0068459	 0.0008468	-0.0005235	 0.0008507	 0.0015188	105892
 283.2	 0.0202433	 0.0000012	-0.0081305	 0.0000012	 0.0117814	 0.0000012	-0.0003344	 0.0000012	 0.0032081	 0.0008488	 0.0022457	 0.0008458	 0.0067980	 0.0008469	-0.0067444	 0.0008477	-0.0037887	 0.0008461	 0.0016512	 0.0008485	 0.0014427	103567
 295.0	 0.0212439	 0.0000012	-0.0058144	 0.0000012	 0.0114642	 0.0000012	-0.0026811	 0.0000012	 0.0041318	 0.0008468	-0.0001571	 0.0008450	 0.0044296	 0.0008461	-0.0023155	 0.0008457	 0.0022030	 0.0008462	 0.0023345	 0.0008456	 0.0013672	101248
 306.8	 0.0216086	 0.0000012	-0.0042161	 0.0000012	 0.0071500	 0.0000012	-0.0035720	 0.0000012	 0.0007205	 0.0008435	-0.0029793	 0.0008456	 0.0020513	 0.0008454	-0.0022978	 0.0008437	 0.0045181	 0.0008439	 0.0029092	 0.0008452	 0.0012983	99031
 318.6	 0.0203487	 0.0000012	-0.0030634	 0.0000012	 0.0032184	 0.0000012	-0.0033343	 0.0000012	-0.0013059	 0.0008414	-0.0027499	 0.0008450	 0.0035648	 0.0008432	-0.0020384	 0.0008432	 0.0035165	 0.0008423	 0.0035402	 0.0008441	 0.0012257	96804
 330.4	 0.0176653	 0.0000012	-0.0022029	 0.0000012	 0.0007637	 0.0000012	-0.0008884	 0.0000012	-0.0003928	 0.0008404	-0.0024308	 0.0008434	 0.0066046	 0.0008435	-0.0016708	 0.0008403	 0.0001751	 0.0008421	 0.0026166	 0.0008417	 0.0011622	94617
 342.2	 0.0144794	 0.0000012	-0.0013161	 0.0000012	-0.0000824	 0.0000012	 0.0022003	 0.0000012	 0.0003022	 0.0008407	-0.0023673	 0.0008405	 0.0058708	 0.0008422	-0.0025327	 0.0008390	-0.0016263	 0.0008412	 0.0018332	 0.0008400	 0.0011059	92414
 354.0	 0.0108159	 0.0000012	-0.0001115	 0.0000012	-0.0010012	 0.0000012	 0.0054570	 0.0000012	 0.0002420	 0.0008389	-0.0017465	 0.0008399	 0.0003644	 0.0008396	-0.0037529	 0.0008391	 0.0017701	 0.0008388	 0.0017778	 0.0008400	 0.0010533	90336
