4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9688276	 0.0000005	-0.0160601	 0.0000008	 0.8979124	 0.0000007	-0.0287956	 0.0000010	 0.8029233	 0.0003916	-0.0368991	 0.0006379	 0.6969059	 0.0005124	-0.0400351	 0.0007410	 0.5879028	 0.0006176	-0.0385609	 0.0008074	 0.0332494	168249
  23.6	 0.8955511	 0.0000007	-0.0263349	 0.0000010	 0.6929888	 0.0000010	-0.0364422	 0.0000012	 0.4782796	 0.0007055	-0.0291158	 0.0008456	 0.2996851	 0.0008120	-0.0125827	 0.0008793	 0.1714283	 0.0008599	 0.0043481	 0.0008880	 0.0174776	164757
  35.4	 0.7972993	 0.0000009	-0.0303882	 0.0000011	 0.4747858	 0.0000012	-0.0257104	 0.0000013	 0.2252249	 0.0008404	-0.0021035	 0.0008833	 0.0871495	 0.0008754	 0.0166227	 0.0008873	 0.0266663	 0.0008860	 0.0238769	 0.0008826	 0.0113396	161382
  47.2	 0.6861915	 0.0000010	-0.0288622	 0.0000012	 0.2924937	 0.0000013	-0.0071749	 0.0000013	 0.0839850	 0.0008729	 0.0176275	 0.0008857	 0.0141674	 0.0008848	 0.0245849	 0.0008796	-0.0039787	 0.0008807	 0.0177663	 0.0008841	 0.0083411	158071
  59.0	 0.5723634	 0.0000011	-0.0225187	 0.0000012	 0.1623733	 0.0000013	 0.0096522	 0.0000013	 0.0216740	 0.0008807	 0.0254000	 0.0008791	-0.0056811	 0.0008797	 0.0205768	 0.0008807	-0.0084690	 0.0008843	 0.0005798	 0.0008763	 0.0065303	154892
  70.8	 0.4634817	 0.0000012	-0.0141730	 0.0000013	 0.0804780	 0.0000013	 0.0216783	 0.0000013	-0.0022088	 0.0008785	 0.0257521	 0.0008774	-0.0109642	 0.0008808	 0.0062790	 0.0008755	-0.0006678	 0.0008809	-0.0131382	 0.0008754	 0.0053922	151712
  82.6	 0.3650922	 0.0000012	-0.0044902	 0.0000013	 0.0341022	 0.0000013	 0.0291636	 0.0000013	-0.0120879	 0.0008757	 0.0196470	 0.0008761	-0.0064055	 0.0008808	-0.0106750	 0.0008713	-0.0015361	 0.0008792	-0.0078177	 0.0008730	 0.0046554	148614
  94.4	 0.2797496	 0.0000012	 0.0050575	 0.0000013	 0.0098965	 0.0000013	 0.0320928	 0.0000013	-0.0139132	 0.0008766	 0.0079082	 0.0008715	-0.0040530	 0.0008758	-0.0139403	 0.0008723	-0.0025111	 0.0008778	 0.0021494	 0.0008706	 0.0040887	145694
 106.2	 0.2094918	 0.0000012	 0.0138133	 0.0000013	-0.0025080	 0.0000013	 0.0317220	 0.0000013	-0.0101409	 0.0008775	-0.0054281	 0.0008667	-0.0073835	 0.0008758	-0.0065443	 0.0008685	 0.0005354	 0.0008728	 0.0041254	 0.0008715	 0.0036561	142684
 118.0	 0.1531200	 0.0000013	 0.0216823	 0.0000013	-0.0095766	 0.0000013	 0.0282327	 0.0000013	-0.0083620	 0.0008720	-0.0115598	 0.0008684	-0.0062648	 0.0008731	 0.0019746	 0.0008674	 0.0094178	 0.0008716	-0.0031412	 0.0008689	 0.0032554	139812
