4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9575632	 0.0000005	 0.0840782	 0.0000008	 0.8563665	 0.0000008	 0.1521142	 0.0000010	 0.7206598	 0.0004501	 0.1968879	 0.0007049	 0.5718045	 0.0005947	 0.2175268	 0.0007980	 0.4257202	 0.0007114	 0.2160686	 0.0008462	 0.0330244	168249
  23.6	 0.8546894	 0.0000008	 0.1489313	 0.0000010	 0.5693936	 0.0000011	 0.2118536	 0.0000013	 0.2927668	 0.0007940	 0.1913973	 0.0008667	 0.1004766	 0.0008765	 0.1260034	 0.0008747	 0.0014179	 0.0008965	 0.0524003	 0.0008753	 0.0155676	164757
  35.4	 0.7164516	 0.0000009	 0.1880351	 0.0000012	 0.2908716	 0.0000012	 0.1854423	 0.0000013	 0.0388212	 0.0008882	 0.0846480	 0.0008737	-0.0287895	 0.0008920	-0.0056614	 0.0008769	-0.0152647	 0.0008878	-0.0450051	 0.0008799	 0.0101154	161382
  47.2	 0.5640562	 0.0000011	 0.2007330	 0.0000012	 0.0964275	 0.0000013	 0.1168510	 0.0000013	-0.0303248	 0.0008897	-0.0057058	 0.0008745	-0.0076017	 0.0008859	-0.0468272	 0.0008772	 0.0199759	 0.0008800	-0.0245477	 0.0008842	 0.0078309	158071
  59.0	 0.4147801	 0.0000012	 0.1912201	 0.0000013	-0.0030354	 0.0000013	 0.0456359	 0.0000013	-0.0168848	 0.0008828	-0.0425274	 0.0008761	 0.0195838	 0.0008780	-0.0241386	 0.0008819	 0.0139041	 0.0008770	 0.0085556	 0.0008835	 0.0063905	154892
  70.8	 0.2809082	 0.0000012	 0.1668273	 0.0000013	-0.0323711	 0.0000013	-0.0059114	 0.0000013	 0.0090254	 0.0008828	-0.0390948	 0.0008721	 0.0174955	 0.0008740	 0.0044544	 0.0008821	 0.0032991	 0.0008783	 0.0028633	 0.0008781	 0.0054115	151712
  82.6	 0.1697999	 0.0000013	 0.1340195	 0.0000013	-0.0255762	 0.0000013	-0.0331114	 0.0000013	 0.0237309	 0.0008730	-0.0160449	 0.0008785	 0.0012716	 0.0008783	 0.0095520	 0.0008739	 0.0123245	 0.0008781	-0.0031394	 0.0008740	 0.0048125	148614
  94.4	 0.0840651	 0.0000013	 0.0981393	 0.0000013	-0.0074524	 0.0000013	-0.0410331	 0.0000013	 0.0200656	 0.0008704	 0.0057853	 0.0008775	 0.0026419	 0.0008746	 0.0010170	 0.0008738	 0.0030860	 0.0008711	-0.0006123	 0.0008772	 0.0043016	145694
 106.2	 0.0239665	 0.0000013	 0.0635591	 0.0000013	 0.0100973	 0.0000013	-0.0338183	 0.0000013	 0.0058886	 0.0008730	 0.0126095	 0.0008711	 0.0118441	 0.0008740	 0.0037502	 0.0008702	-0.0084214	 0.0008732	-0.0021684	 0.0008711	 0.0038686	142684
 118.0	-0.0133112	 0.0000013	 0.0338258	 0.0000013	 0.0214430	 0.0000013	-0.0197036	 0.0000013	-0.0039896	 0.0008741	 0.0065118	 0.0008663	 0.0043925	 0.0008668	 0.0081438	 0.0008736	-0.0062303	 0.0008714	 0.0013845	 0.0008691	 0.0035152	139812
 129.8	-0.0327643	 0.0000013	 0.0107153	 0.0000013	 0.0254273	 0.0000013	-0.0045798	 0.0000013	-0.0024906	 0.0008707	 0.0032409	 0.0008660	-0.0029186	 0.0008693	 0.0014241	 0.0008674	 0.0030221	 0.0008706	 0.0002389	 0.0008661	 0.0032410	136913
