4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9697383	 0.0000005	 0.0179644	 0.0000007	 0.8997050	 0.0000007	 0.0346757	 0.0000010	 0.8050210	 0.0003828	 0.0489110	 0.0006378	 0.6981899	 0.0005063	 0.0602791	 0.0007411	 0.5878158	 0.0006140	 0.0679264	 0.0008072	 0.0276025	168249
  23.6	 0.8980585	 0.0000007	 0.0334738	 0.0000010	 0.6956014	 0.0000010	 0.0582744	 0.0000012	 0.4783509	 0.0007018	 0.0688862	 0.0008449	 0.2966850	 0.0008150	 0.0655087	 0.0008745	 0.1656873	 0.0008679	 0.0521031	 0.0008794	 0.0122998	164757
  35.4	 0.8008419	 0.0000009	 0.0456813	 0.0000011	 0.4757807	 0.0000012	 0.0661915	 0.0000013	 0.2219138	 0.0008455	 0.0562366	 0.0008769	 0.0824197	 0.0008841	 0.0331164	 0.0008786	 0.0257383	 0.0008866	 0.0126905	 0.0008824	 0.0077682	161382
  47.2	 0.6903483	 0.0000010	 0.0536974	 0.0000012	 0.2904066	 0.0000013	 0.0595423	 0.0000013	 0.0789254	 0.0008820	 0.0311107	 0.0008767	 0.0168974	 0.0008843	 0.0087862	 0.0008805	 0.0101712	 0.0008820	 0.0016083	 0.0008830	 0.0055717	158071
  59.0	 0.5765144	 0.0000011	 0.0579170	 0.0000012	 0.1566474	 0.0000013	 0.0449529	 0.0000013	 0.0216864	 0.0008822	 0.0111105	 0.0008780	 0.0102494	 0.0008795	 0.0023765	 0.0008811	 0.0103423	 0.0008792	 0.0021655	 0.0008815	 0.0043755	154892
  70.8	 0.4668232	 0.0000012	 0.0585004	 0.0000013	 0.0734330	 0.0000013	 0.0294397	 0.0000013	 0.0085346	 0.0008793	 0.0024252	 0.0008771	 0.0105347	 0.0008751	 0.0021180	 0.0008812	 0.0056063	 0.0008810	 0.0050095	 0.0008754	 0.0035966	151712
  82.6	 0.3666278	 0.0000012	 0.0560990	 0.0000013	 0.0302185	 0.0000013	 0.0179107	 0.0000013	 0.0088410	 0.0008736	 0.0002030	 0.0008786	 0.0073427	 0.0008783	 0.0029463	 0.0008739	 0.0029429	 0.0008777	 0.0083405	 0.0008745	 0.0030189	148614
  94.4	 0.2790610	 0.0000012	 0.0511597	 0.0000013	 0.0121755	 0.0000013	 0.0097975	 0.0000013	 0.0098649	 0.0008711	 0.0003546	 0.0008771	 0.0051811	 0.0008754	 0.0084823	 0.0008729	-0.0031114	 0.0008740	 0.0057092	 0.0008743	 0.0025942	145694
 106.2	 0.2057146	 0.0000013	 0.0455429	 0.0000013	 0.0056986	 0.0000013	 0.0055342	 0.0000013	 0.0097075	 0.0008749	 0.0035490	 0.0008693	 0.0019011	 0.0008729	 0.0109336	 0.0008713	-0.0102389	 0.0008732	 0.0050735	 0.0008710	 0.0022699	142684
 118.0	 0.1462453	 0.0000013	 0.0400363	 0.0000013	 0.0041437	 0.0000013	 0.0030204	 0.0000013	 0.0085063	 0.0008739	 0.0062120	 0.0008665	-0.0062220	 0.0008676	 0.0086727	 0.0008729	-0.0032811	 0.0008686	 0.0043627	 0.0008719	 0.0020134	139812
 129.8	 0.0994076	 0.0000013	 0.0353459	 0.0000013	 0.0039212	 0.0000013	 0.0018346	 0.0000013	 0.0078307	 0.0008686	 0.0078422	 0.0008680	-0.0138700	 0.0008665	 0.0066724	 0.0008700	 0.0105028	 0.0008658	-0.0001826	 0.0008709	 0.0018234	136913
 141.6	 0.0633707	 0.0000013	 0.0308401	 0.0000013	 0.0048819	 0.0000013	 0.0018471	 0.0000013	 0.0046885	 0.0008655	 0.0096245	 0.0008674	-0.0116535	 0.0008682	 0.0031012	 0.0008647	 0.0117399	 0.0008644	 0.0003672	 0.0008684	 0.0016334	134048
 153.4	 0.0362552	 0.0000013	 0.0273117	 0.0000013	 0.0060246	 0.0000013	 0.0025614	 0.0000013	-0.0001945	 0.0008614	 0.0086601	 0.0008679	-0.0022424	 0.0008648	 0.0002161	 0.0008645	 0.0025897	 0.0008650	 0.0084585	 0.0008642	 0.0014671	131222
 165.2	 0.0162310	 0.0000013	 0.0241050	 0.0000012	 0.0088582	 0.0000013	 0.0040065	 0.0000013	-0.0063402	 0.0008591	 0.0053236	 0.0008668	 0.0051424	 0.0008593	-0.0015826	 0.0008666	-0.0047318	 0.0008643	 0.0110530	 0.0008615	 0.0013199	128625
 177.0	 0.0016361	 0.0000013	 0.0208751	 0.0000012	 0.0118002	 0.0000012	 0.0040106	 0.0000012	-0.0098442	 0.0008600	 0.0038741	 0.0008625	 0.0072666	 0.0008604	 0.0020216	 0.0008622	-0.0098871	 0.0008618	 0.0077453	 0.0008608	 0.0012052	126053
 188.8	-0.0092314	 0.0000012	 0.0177596	 0.0000012	 0.0126325	 0.0000012	 0.0029758	 0.0000012	-0.0103665	 0.0008615	 0.0051878	 0.0008578	 0.0022900	 0.0008598	 0.0082314	 0.0008595	-0.0114025	 0.0008620	 0.0057326	 0.0008573	 0.0011045	123467
 200.6	-0.0170888	 0.0000012	 0.0143610	 0.0000012	 0.0106528	 0.0000012	 0.0015750	 0.0000012	-0.0079474	 0.0008596	 0.0058001	 0.0008564	-0.0027491	 0.0008597	 0.0097856	 0.0008563	-0.0083843	 0.0008590	 0.0017697	 0.0008570	 0.0010152	120870
 212.4	-0.0227168	 0.0000012	 0.0107255	 0.0000012	 0.0063951	 0.0000012	-0.0001227	 0.0000012	-0.0046276	 0.0008566	 0.0057405	 0.0008562	-0.0039839	 0.0008561	 0.0058825	 0.0008567	-0.0017980	 0.0008570	-0.0008590	 0.0008559	 0.0009370	118292
 224.2	-0.0265854	 0.0000012	 0.0063794	 0.0000012	 0.0009201	 0.0000012	-0.0013146	 0.0000012	-0.0034460	 0.0008551	 0.0074183	 0.0008545	-0.0032767	 0.0008535	 0.0004846	 0.0008561	 0.0016571	 0.0008549	-0.0016677	 0.0008548	 0.0008652	115761
 236.0	-0.0287120	 0.0000012	 0.0011542	 0.0000012	-0.0041511	 0.0000012	-0.0023229	 0.0000012	-0.0052572	 0.0008527	 0.0098510	 0.0008537	-0.0033440	 0.0008537	-0.0038004	 0.0008528	 0.0010469	 0.0008544	-0.0032104	 0.0008521	 0.0008044	113222
 247.8	-0.0300097	 0.0000012	-0.0040983	 0.0000012	-0.0077227	 0.0000012	-0.0039945	 0.0000012	-0.0082163	 0.0008522	 0.0099229	 0.0008512	-0.0049399	 0.0008533	-0.0051259	 0.0008501	-0.0019715	 0.0008521	-0.0020699	 0.0008514	 0.0007421	110804
 259.6	-0.0303493	 0.0000012	-0.0089884	 0.0000012	-0.0087218	 0.0000012	-0.0050938	 0.0000012	-0.0108842	 0.0008515	 0.0075567	 0.0008488	-0.0064384	 0.0008506	-0.0019190	 0.0008498	-0.0026733	 0.0008507	-0.0011463	 0.0008497	 0.0006801	108312
 271.4	-0.0299917	 0.0000012	-0.0130139	 0.0000012	-0.0074507	 0.0000012	-0.0054300	 0.0000012	-0.0123612	 0.0008495	 0.0033970	 0.0008478	-0.0082804	 0.0008486	-0.0004966	 0.0008489	-0.0001873	 0.0008503	 0.0016291	 0.0008472	 0.0006277	105892
 283.2	-0.0298096	 0.0000012	-0.0162251	 0.0000012	-0.0040248	 0.0000012	-0.0048730	 0.0000012	-0.0115826	 0.0008465	-0.0001343	 0.0008481	-0.0071109	 0.0008483	-0.0045686	 0.0008463	 0.0020886	 0.0008478	 0.0036587	 0.0008468	 0.0005886	103567
 295.0	-0.0303605	 0.0000012	-0.0184428	 0.0000012	 0.0017071	 0.0000012	-0.0031445	 0.0000012	-0.0092527	 0.0008462	-0.0031363	 0.0008455	-0.0027438	 0.0008461	-0.0075732	 0.0008457	 0.0011346	 0.0008464	 0.0056303	 0.0008453	 0.0005491	101248
 306.8	-0.0314004	 0.0000012	-0.0198659	 0.0000012	 0.0085141	 0.0000012	-0.0001987	 0.0000012	-0.0065592	 0.0008466	-0.0060770	 0.0008425	 0.0021129	 0.0008429	-0.0044194	 0.0008462	 0.0007526	 0.0008438	 0.0102505	 0.0008453	 0.0005137	99031
 318.6	-0.0327755	 0.0000012	-0.0208210	 0.0000012	 0.0138559	 0.0000012	 0.0030485	 0.0000012	-0.0053303	 0.0008451	-0.0072960	 0.0008413	 0.0035584	 0.0008431	 0.0000420	 0.0008434	 0.0018360	 0.0008437	 0.0068033	 0.0008427	 0.0004853	96804
 330.4	-0.0345183	 0.0000012	-0.0208148	 0.0000012	 0.0159184	 0.0000012	 0.0057105	 0.0000012	-0.0068340	 0.0008407	-0.0056986	 0.0008431	 0.0008066	 0.0008415	 0.0007507	 0.0008423	 0.0023947	 0.0008426	-0.0012938	 0.0008413	 0.0004607	94617
