4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9614511	 0.0000005	 0.0094741	 0.0000008	 0.8697972	 0.0000007	 0.0173237	 0.0000011	 0.7453543	 0.0004239	 0.0230114	 0.0007232	 0.6060977	 0.0005685	 0.0269547	 0.0008229	 0.4664619	 0.0006902	 0.0289924	 0.0008722	 0.0327590	168249
  23.6	 0.8679413	 0.0000007	 0.0171479	 0.0000010	 0.6036468	 0.0000011	 0.0271050	 0.0000013	 0.3355419	 0.0007789	 0.0296380	 0.0008882	 0.1415589	 0.0008616	 0.0240627	 0.0008941	 0.0361329	 0.0008746	 0.0135875	 0.0008983	 0.0166753	164757
  35.4	 0.7408908	 0.0000009	 0.0231458	 0.0000012	 0.3342630	 0.0000012	 0.0310179	 0.0000013	 0.0782288	 0.0008695	 0.0207099	 0.0008942	-0.0031001	 0.0008749	 0.0041544	 0.0008946	-0.0147737	 0.0008788	-0.0010842	 0.0008906	 0.0109819	161382
  47.2	 0.5992263	 0.0000011	 0.0281965	 0.0000013	 0.1401763	 0.0000013	 0.0277379	 0.0000013	-0.0012511	 0.0008728	 0.0053135	 0.0008922	-0.0151369	 0.0008772	 0.0003182	 0.0008877	-0.0266531	 0.0008838	 0.0202076	 0.0008804	 0.0081115	158071
  59.0	 0.4586259	 0.0000012	 0.0320100	 0.0000013	 0.0378580	 0.0000013	 0.0176223	 0.0000013	-0.0100205	 0.0008762	-0.0027548	 0.0008844	-0.0263709	 0.0008826	 0.0172136	 0.0008773	-0.0184106	 0.0008822	 0.0282729	 0.0008775	 0.0064778	154892
  70.8	 0.3306971	 0.0000012	 0.0345171	 0.0000013	 0.0012924	 0.0000013	 0.0053679	 0.0000013	-0.0180861	 0.0008782	 0.0044397	 0.0008780	-0.0226171	 0.0008815	 0.0260713	 0.0008739	-0.0075720	 0.0008786	 0.0182802	 0.0008775	 0.0053111	151712
  82.6	 0.2231916	 0.0000013	 0.0352124	 0.0000013	-0.0059810	 0.0000013	-0.0027860	 0.0000013	-0.0270513	 0.0008813	 0.0173861	 0.0008700	-0.0083772	 0.0008758	 0.0205784	 0.0008761	-0.0009342	 0.0008768	 0.0056753	 0.0008754	 0.0045326	148614
  94.4	 0.1399523	 0.0000013	 0.0343605	 0.0000013	-0.0102556	 0.0000013	-0.0060001	 0.0000013	-0.0225327	 0.0008785	 0.0235389	 0.0008688	-0.0045112	 0.0008752	 0.0139200	 0.0008729	 0.0100900	 0.0008723	-0.0147699	 0.0008758	 0.0038909	145694
 106.2	 0.0809748	 0.0000013	 0.0316634	 0.0000013	-0.0190046	 0.0000013	-0.0026079	 0.0000013	-0.0114368	 0.0008731	 0.0184818	 0.0008708	 0.0024464	 0.0008711	 0.0044995	 0.0008732	 0.0133677	 0.0008694	-0.0157882	 0.0008746	 0.0034280	142684
 118.0	 0.0426192	 0.0000013	 0.0268005	 0.0000013	-0.0282105	 0.0000013	 0.0033945	 0.0000013	-0.0035310	 0.0008700	 0.0115986	 0.0008704	 0.0120470	 0.0008692	-0.0097865	 0.0008711	 0.0089347	 0.0008687	-0.0121219	 0.0008716	 0.0030678	139812
 129.8	 0.0196706	 0.0000013	 0.0205073	 0.0000013	-0.0309896	 0.0000013	 0.0087843	 0.0000013	-0.0003190	 0.0008689	 0.0101069	 0.0008678	 0.0140891	 0.0008665	-0.0134151	 0.0008699	 0.0005826	 0.0008686	-0.0196856	 0.0008678	 0.0027817	136913
 141.6	 0.0071002	 0.0000013	 0.0134920	 0.0000013	-0.0260442	 0.0000013	 0.0105028	 0.0000013	 0.0043927	 0.0008651	 0.0085713	 0.0008678	 0.0071224	 0.0008658	-0.0081921	 0.0008671	-0.0000381	 0.0008664	-0.0117486	 0.0008665	 0.0025448	134048
 153.4	 0.0008979	 0.0000013	 0.0067304	 0.0000013	-0.0173200	 0.0000013	 0.0082406	 0.0000013	 0.0093487	 0.0008655	 0.0008999	 0.0008638	-0.0005705	 0.0008633	-0.0111084	 0.0008659	 0.0009680	 0.0008688	-0.0007673	 0.0008605	 0.0023441	131222
 165.2	-0.0019102	 0.0000012	 0.0006241	 0.0000013	-0.0090206	 0.0000013	 0.0050546	 0.0000013	 0.0104073	 0.0008626	-0.0085416	 0.0008633	-0.0018950	 0.0008608	-0.0171857	 0.0008649	 0.0007434	 0.0008632	-0.0017030	 0.0008628	 0.0021746	128625
 177.0	-0.0039348	 0.0000012	-0.0035279	 0.0000012	-0.0042255	 0.0000012	 0.0034854	 0.0000012	 0.0041679	 0.0008593	-0.0127404	 0.0008632	 0.0011024	 0.0008627	-0.0128719	 0.0008598	 0.0052339	 0.0008609	-0.0042434	 0.0008617	 0.0020245	126053
 188.8	-0.0068115	 0.0000012	-0.0058297	 0.0000012	-0.0027492	 0.0000012	 0.0054718	 0.0000012	-0.0030876	 0.0008576	-0.0096206	 0.0008617	 0.0020446	 0.0008615	-0.0023289	 0.0008578	 0.0051012	 0.0008610	-0.0004106	 0.0008584	 0.0018968	123467
 200.6	-0.0117116	 0.0000012	-0.0063231	 0.0000012	-0.0042016	 0.0000012	 0.0099813	 0.0000012	-0.0055444	 0.0008568	-0.0052088	 0.0008593	 0.0058513	 0.0008599	-0.0037211	 0.0008562	-0.0000791	 0.0008577	-0.0032754	 0.0008584	 0.0017761	120870
 212.4	-0.0183956	 0.0000012	-0.0058538	 0.0000012	-0.0056375	 0.0000012	 0.0134620	 0.0000012	-0.0018337	 0.0008539	-0.0054630	 0.0008589	 0.0081114	 0.0008550	-0.0041034	 0.0008578	-0.0102704	 0.0008577	-0.0046518	 0.0008550	 0.0016586	118292
 224.2	-0.0255907	 0.0000012	-0.0057045	 0.0000012	-0.0057959	 0.0000012	 0.0129987	 0.0000012	 0.0008487	 0.0008553	-0.0068670	 0.0008543	 0.0051377	 0.0008518	 0.0005979	 0.0008579	-0.0153166	 0.0008553	 0.0004328	 0.0008541	 0.0015442	115761
 236.0	-0.0321652	 0.0000012	-0.0066474	 0.0000012	-0.0044874	 0.0000012	 0.0081566	 0.0000012	-0.0006906	 0.0008560	-0.0061524	 0.0008504	-0.0000595	 0.0008541	-0.0003217	 0.0008524	-0.0039376	 0.0008506	 0.0021708	 0.0008559	 0.0014403	113222
 247.8	-0.0370424	 0.0000012	-0.0081169	 0.0000012	-0.0023520	 0.0000012	 0.0023878	 0.0000012	-0.0044619	 0.0008520	-0.0039800	 0.0008515	-0.0030938	 0.0008537	-0.0055639	 0.0008497	 0.0029244	 0.0008511	 0.0001053	 0.0008524	 0.0013386	110804
 259.6	-0.0394209	 0.0000012	-0.0110482	 0.0000012	 0.0001618	 0.0000012	-0.0000432	 0.0000012	-0.0064973	 0.0008521	 0.0001036	 0.0008483	-0.0056286	 0.0008529	-0.0051536	 0.0008475	 0.0017381	 0.0008513	 0.0030450	 0.0008491	 0.0012406	108312
 271.4	-0.0388172	 0.0000012	-0.0141857	 0.0000012	 0.0028296	 0.0000012	 0.0013244	 0.0000012	-0.0053035	 0.0008483	 0.0069299	 0.0008491	-0.0063881	 0.0008480	 0.0017639	 0.0008495	 0.0058037	 0.0008497	 0.0006442	 0.0008477	 0.0011509	105892
 283.2	-0.0349685	 0.0000012	-0.0167073	 0.0000012	 0.0048306	 0.0000012	 0.0046470	 0.0000012	-0.0048691	 0.0008436	 0.0111777	 0.0008508	-0.0020558	 0.0008446	 0.0063273	 0.0008500	 0.0107184	 0.0008484	-0.0037829	 0.0008461	 0.0010768	103567
 295.0	-0.0284222	 0.0000012	-0.0177891	 0.0000012	 0.0038131	 0.0000012	 0.0084135	 0.0000012	-0.0101799	 0.0008434	 0.0095283	 0.0008483	 0.0005928	 0.0008458	 0.0062176	 0.0008460	 0.0092782	 0.0008461	-0.0053205	 0.0008456	 0.0010207	101248
 306.8	-0.0194429	 0.0000012	-0.0172572	 0.0000012	-0.0001864	 0.0000012	 0.0100263	 0.0000012	-0.0157281	 0.0008448	 0.0026595	 0.0008441	 0.0020042	 0.0008459	 0.0020797	 0.0008432	 0.0007111	 0.0008446	-0.0020286	 0.0008446	 0.0009677	99031
