4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9641321	 0.0000005	 0.0301099	 0.0000008	 0.8794687	 0.0000007	 0.0557338	 0.0000010	 0.7654258	 0.0004128	 0.0749918	 0.0006901	 0.6378480	 0.0005457	 0.0874038	 0.0007931	 0.5085876	 0.0006589	 0.0935826	 0.0008517	 0.0334012	168249
  23.6	 0.8777199	 0.0000007	 0.0545732	 0.0000010	 0.6346078	 0.0000010	 0.0854817	 0.0000013	 0.3835408	 0.0007482	 0.0931364	 0.0008770	 0.1872552	 0.0008512	 0.0842435	 0.0008851	 0.0641149	 0.0008848	 0.0666499	 0.0008819	 0.0170280	164757
  35.4	 0.7603895	 0.0000009	 0.0718434	 0.0000012	 0.3807829	 0.0000012	 0.0917538	 0.0000013	 0.1139220	 0.0008717	 0.0767889	 0.0008811	 0.0044215	 0.0008907	 0.0485724	 0.0008768	-0.0126936	 0.0008906	 0.0243577	 0.0008783	 0.0117311	161382
  47.2	 0.6286973	 0.0000010	 0.0827582	 0.0000012	 0.1824229	 0.0000013	 0.0845875	 0.0000013	 0.0029108	 0.0008884	 0.0491798	 0.0008745	-0.0100842	 0.0008869	 0.0186666	 0.0008778	 0.0022886	 0.0008787	 0.0067632	 0.0008863	 0.0088316	158071
  59.0	 0.4959183	 0.0000011	 0.0880837	 0.0000013	 0.0592449	 0.0000013	 0.0684944	 0.0000013	-0.0138740	 0.0008864	 0.0239868	 0.0008736	 0.0033149	 0.0008768	 0.0061403	 0.0008839	 0.0149598	 0.0008759	 0.0170965	 0.0008844	 0.0070266	154892
  70.8	 0.3726743	 0.0000012	 0.0891495	 0.0000013	 0.0011826	 0.0000013	 0.0489536	 0.0000013	-0.0023951	 0.0008780	 0.0069176	 0.0008783	 0.0133942	 0.0008731	 0.0142126	 0.0008830	 0.0138658	 0.0008803	 0.0213542	 0.0008756	 0.0058197	151712
  82.6	 0.2655947	 0.0000012	 0.0869618	 0.0000013	-0.0156951	 0.0000013	 0.0294596	 0.0000013	 0.0089481	 0.0008708	 0.0034928	 0.0008813	 0.0162636	 0.0008773	 0.0223190	 0.0008742	 0.0019014	 0.0008766	 0.0094950	 0.0008755	 0.0049798	148614
  94.4	 0.1778990	 0.0000013	 0.0829233	 0.0000013	-0.0119008	 0.0000013	 0.0121583	 0.0000013	 0.0158066	 0.0008700	 0.0100774	 0.0008780	 0.0082418	 0.0008761	 0.0199228	 0.0008718	-0.0069506	 0.0008731	-0.0045225	 0.0008752	 0.0042815	145694
 106.2	 0.1096352	 0.0000013	 0.0768255	 0.0000013	-0.0019260	 0.0000013	 0.0003461	 0.0000013	 0.0172439	 0.0008732	 0.0184101	 0.0008706	-0.0003845	 0.0008715	 0.0085580	 0.0008728	-0.0107717	 0.0008749	-0.0116460	 0.0008692	 0.0037493	142684
 118.0	 0.0586378	 0.0000013	 0.0687721	 0.0000013	 0.0073899	 0.0000013	-0.0051097	 0.0000013	 0.0125342	 0.0008745	 0.0200872	 0.0008655	-0.0040371	 0.0008685	-0.0016601	 0.0008720	-0.0064013	 0.0008680	-0.0105191	 0.0008724	 0.0033368	139812
 129.8	 0.0229625	 0.0000013	 0.0587783	 0.0000013	 0.0137689	 0.0000013	-0.0044285	 0.0000013	 0.0068211	 0.0008687	 0.0157027	 0.0008678	-0.0080163	 0.0008705	-0.0081526	 0.0008661	 0.0050228	 0.0008664	-0.0093745	 0.0008702	 0.0029932	136913
 141.6	 0.0000264	 0.0000013	 0.0472211	 0.0000013	 0.0150973	 0.0000013	 0.0002811	 0.0000013	 0.0042257	 0.0008661	 0.0077040	 0.0008669	-0.0076615	 0.0008649	-0.0092606	 0.0008679	 0.0108164	 0.0008675	-0.0070952	 0.0008653	 0.0026895	134048
 153.4	-0.0121150	 0.0000013	 0.0345711	 0.0000013	 0.0124210	 0.0000013	 0.0069819	 0.0000013	 0.0042935	 0.0008629	-0.0004466	 0.0008663	-0.0008078	 0.0008648	-0.0095597	 0.0008645	 0.0039743	 0.0008658	-0.0009912	 0.0008635	 0.0024326	131222
 165.2	-0.0170905	 0.0000013	 0.0215847	 0.0000012	 0.0084705	 0.0000013	 0.0152171	 0.0000012	 0.0042243	 0.0008622	-0.0033199	 0.0008637	 0.0094318	 0.0008624	-0.0088467	 0.0008634	 0.0032993	 0.0008629	-0.0005672	 0.0008631	 0.0022176	128625
 177.0	-0.0166444	 0.0000012	 0.0087888	 0.0000012	 0.0057248	 0.0000013	 0.0217511	 0.0000012	 0.0038133	 0.0008626	-0.0024112	 0.0008601	 0.0101825	 0.0008616	-0.0071976	 0.0008609	 0.0037003	 0.0008634	-0.0060735	 0.0008593	 0.0020511	126053
 188.8	-0.0126484	 0.0000012	-0.0027526	 0.0000012	 0.0058755	 0.0000012	 0.0233107	 0.0000012	 0.0040855	 0.0008590	-0.0018805	 0.0008604	 0.0048973	 0.0008626	-0.0043377	 0.0008567	-0.0027440	 0.0008622	-0.0072998	 0.0008571	 0.0019136	123467
 200.6	-0.0065612	 0.0000012	-0.0122184	 0.0000012	 0.0084745	 0.0000012	 0.0206317	 0.0000012	 0.0067076	 0.0008559	-0.0043393	 0.0008601	 0.0084063	 0.0008573	-0.0036238	 0.0008587	-0.0024068	 0.0008581	-0.0049323	 0.0008580	 0.0017823	120870
 212.4	 0.0003032	 0.0000012	-0.0195155	 0.0000012	 0.0106220	 0.0000012	 0.0152168	 0.0000012	 0.0088592	 0.0008543	-0.0069035	 0.0008585	 0.0125463	 0.0008568	-0.0035457	 0.0008558	 0.0011198	 0.0008551	-0.0031795	 0.0008577	 0.0016578	118292
 224.2	 0.0061837	 0.0000012	-0.0246702	 0.0000012	 0.0113192	 0.0000012	 0.0097586	 0.0000012	 0.0073468	 0.0008556	-0.0076781	 0.0008540	 0.0059824	 0.0008553	-0.0021645	 0.0008543	-0.0025867	 0.0008531	-0.0046788	 0.0008565	 0.0015464	115761
 236.0	 0.0105626	 0.0000012	-0.0277033	 0.0000012	 0.0099650	 0.0000012	 0.0052274	 0.0000012	 0.0049182	 0.0008544	-0.0075648	 0.0008520	-0.0041803	 0.0008536	 0.0008218	 0.0008528	-0.0054342	 0.0008520	-0.0060171	 0.0008544	 0.0014342	113222
 247.8	 0.0131739	 0.0000012	-0.0291178	 0.0000012	 0.0064052	 0.0000012	 0.0036311	 0.0000012	 0.0049704	 0.0008528	-0.0083747	 0.0008506	-0.0026637	 0.0008520	 0.0013418	 0.0008515	-0.0040776	 0.0008520	-0.0069423	 0.0008515	 0.0013284	110804
 259.6	 0.0143500	 0.0000012	-0.0287548	 0.0000012	 0.0011436	 0.0000012	 0.0045547	 0.0000012	 0.0104376	 0.0008509	-0.0071347	 0.0008494	 0.0028361	 0.0008494	-0.0021086	 0.0008511	 0.0021168	 0.0008495	-0.0027671	 0.0008509	 0.0012227	108312
 271.4	 0.0143288	 0.0000012	-0.0271423	 0.0000012	-0.0020358	 0.0000012	 0.0071204	 0.0000012	 0.0170863	 0.0008488	-0.0035450	 0.0008484	 0.0048536	 0.0008492	-0.0062706	 0.0008482	 0.0063172	 0.0008485	 0.0015492	 0.0008490	 0.0011230	105892
 283.2	 0.0142020	 0.0000012	-0.0236929	 0.0000012	-0.0017186	 0.0000012	 0.0118094	 0.0000012	 0.0205588	 0.0008456	 0.0008025	 0.0008487	 0.0054408	 0.0008463	-0.0078293	 0.0008483	 0.0034241	 0.0008476	 0.0008241	 0.0008470	 0.0010298	103567
 295.0	 0.0139942	 0.0000012	-0.0197485	 0.0000012	 0.0017354	 0.0000012	 0.0167331	 0.0000012	 0.0193190	 0.0008436	 0.0047351	 0.0008479	-0.0001827	 0.0008444	-0.0066041	 0.0008474	-0.0026337	 0.0008461	 0.0002817	 0.0008457	 0.0009434	101248
 306.8	 0.0141383	 0.0000012	-0.0155528	 0.0000012	 0.0033639	 0.0000012	 0.0196111	 0.0000012	 0.0175200	 0.0008431	 0.0054940	 0.0008457	-0.0044063	 0.0008449	-0.0027274	 0.0008442	-0.0039696	 0.0008461	 0.0014931	 0.0008430	 0.0008593	99031
 318.6	 0.0143473	 0.0000012	-0.0120917	 0.0000012	 0.0011429	 0.0000012	 0.0198634	 0.0000012	 0.0188537	 0.0008418	 0.0029439	 0.0008444	-0.0041420	 0.0008434	 0.0019261	 0.0008430	-0.0046286	 0.0008431	 0.0012219	 0.0008434	 0.0007859	96804
 330.4	 0.0144782	 0.0000012	-0.0092646	 0.0000012	-0.0059562	 0.0000012	 0.0163626	 0.0000012	 0.0202876	 0.0008421	-0.0002054	 0.0008414	-0.0034490	 0.0008446	 0.0034468	 0.0008392	-0.0048434	 0.0008413	-0.0003974	 0.0008425	 0.0007236	94617
 342.2	 0.0146343	 0.0000012	-0.0071476	 0.0000012	-0.0166499	 0.0000012	 0.0097327	 0.0000012	 0.0208235	 0.0008421	-0.0031709	 0.0008387	 0.0010005	 0.0008406	 0.0002367	 0.0008406	-0.0067338	 0.0008390	 0.0010176	 0.0008422	 0.0006713	92414
 354.0	 0.0145030	 0.0000012	-0.0057316	 0.0000012	-0.0259361	 0.0000012	 0.0017357	 0.0000012	 0.0212451	 0.0008396	-0.0046857	 0.0008388	 0.0087031	 0.0008386	-0.0006260	 0.0008401	-0.0070138	 0.0008390	 0.0018014	 0.0008397	 0.0006263	90336
 365.8	 0.0139064	 0.0000012	-0.0052731	 0.0000012	-0.0313235	 0.0000012	-0.0057687	 0.0000012	 0.0195487	 0.0008390	-0.0034837	 0.0008371	 0.0120064	 0.0008392	 0.0035646	 0.0008370	-0.0032381	 0.0008379	 0.0008083	 0.0008384	 0.0005878	88296
 377.6	 0.0129152	 0.0000012	-0.0050339	 0.0000012	-0.0311001	 0.0000012	-0.0119008	 0.0000012	 0.0162595	 0.0008404	 0.0004081	 0.0008332	 0.0052052	 0.0008386	 0.0042114	 0.0008352	-0.0006272	 0.0008360	-0.0013205	 0.0008378	 0.0005530	86160
