4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9601850	 0.0000005	-0.0107705	 0.0000008	 0.8652377	 0.0000007	-0.0203656	 0.0000011	 0.7374430	 0.0004344	-0.0278685	 0.0007295	 0.5956720	 0.0005802	-0.0331914	 0.0008264	 0.4545041	 0.0007029	-0.0365413	 0.0008717	 0.0350630	168249
  23.6	 0.8638674	 0.0000007	-0.0200190	 0.0000011	 0.5932370	 0.0000011	-0.0327949	 0.0000013	 0.3239935	 0.0007936	-0.0370897	 0.0008815	 0.1341662	 0.0008833	-0.0370284	 0.0008738	 0.0375593	 0.0009005	-0.0339371	 0.0008713	 0.0178933	164757
  35.4	 0.7334402	 0.0000009	-0.0271536	 0.0000012	 0.3226292	 0.0000012	-0.0367291	 0.0000013	 0.0741773	 0.0008954	-0.0347496	 0.0008681	 0.0098571	 0.0008896	-0.0295431	 0.0008792	 0.0230055	 0.0008727	-0.0272480	 0.0008957	 0.0121402	161382
  47.2	 0.5887989	 0.0000011	-0.0323176	 0.0000013	 0.1325383	 0.0000013	-0.0360476	 0.0000013	 0.0104720	 0.0008869	-0.0284132	 0.0008773	 0.0295591	 0.0008706	-0.0266158	 0.0008930	 0.0339286	 0.0008843	-0.0216654	 0.0008794	 0.0092912	158071
  59.0	 0.4465929	 0.0000012	-0.0356177	 0.0000013	 0.0368771	 0.0000013	-0.0315042	 0.0000013	 0.0248732	 0.0008692	-0.0255778	 0.0008903	 0.0333341	 0.0008820	-0.0210973	 0.0008774	 0.0017366	 0.0008800	-0.0096157	 0.0008807	 0.0074294	154892
  70.8	 0.3184071	 0.0000012	-0.0374111	 0.0000013	 0.0113435	 0.0000013	-0.0257255	 0.0000013	 0.0379613	 0.0008724	-0.0232831	 0.0008822	 0.0081851	 0.0008773	-0.0103401	 0.0008790	-0.0246643	 0.0008799	-0.0106087	 0.0008758	 0.0062940	151712
  82.6	 0.2116486	 0.0000013	-0.0366972	 0.0000013	 0.0203461	 0.0000013	-0.0224864	 0.0000013	 0.0288649	 0.0008803	-0.0175833	 0.0008710	-0.0185384	 0.0008779	-0.0071175	 0.0008740	-0.0141276	 0.0008744	-0.0056551	 0.0008777	 0.0055517	148614
  94.4	 0.1295072	 0.0000013	-0.0339731	 0.0000013	 0.0350557	 0.0000013	-0.0222821	 0.0000013	 0.0071643	 0.0008756	-0.0108625	 0.0008726	-0.0247357	 0.0008720	-0.0078727	 0.0008758	 0.0085384	 0.0008754	 0.0035925	 0.0008729	 0.0049742	145694
 106.2	 0.0716868	 0.0000013	-0.0299469	 0.0000013	 0.0418422	 0.0000013	-0.0224639	 0.0000013	-0.0128320	 0.0008734	-0.0052536	 0.0008708	-0.0085303	 0.0008700	-0.0021411	 0.0008743	 0.0101200	 0.0008720	 0.0042510	 0.0008722	 0.0045380	142684
 118.0	 0.0352503	 0.0000013	-0.0255847	 0.0000013	 0.0376707	 0.0000013	-0.0215089	 0.0000013	-0.0224422	 0.0008708	-0.0046015	 0.0008693	 0.0078662	 0.0008692	 0.0045584	 0.0008713	 0.0015349	 0.0008690	 0.0128741	 0.0008714	 0.0041482	139812
