4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9654026	 0.0000005	 0.0274374	 0.0000008	 0.8848163	 0.0000007	 0.0507926	 0.0000010	 0.7768362	 0.0004133	 0.0680802	 0.0006705	 0.6572531	 0.0005435	 0.0781730	 0.0007708	 0.5363650	 0.0006526	 0.0810648	 0.0008314	 0.0376825	168249
  23.6	 0.8829765	 0.0000007	 0.0482070	 0.0000010	 0.6540124	 0.0000010	 0.0739124	 0.0000012	 0.4191047	 0.0007360	 0.0724698	 0.0008648	 0.2347227	 0.0008320	 0.0515365	 0.0008894	 0.1111658	 0.0008678	 0.0240680	 0.0008949	 0.0188510	164757
  35.4	 0.7723521	 0.0000009	 0.0609553	 0.0000011	 0.4158521	 0.0000012	 0.0682670	 0.0000013	 0.1616313	 0.0008533	 0.0348074	 0.0008916	 0.0370806	 0.0008765	 0.0018610	 0.0008919	-0.0067313	 0.0008802	-0.0090316	 0.0008894	 0.0126542	161382
  47.2	 0.6479484	 0.0000010	 0.0659059	 0.0000012	 0.2271198	 0.0000013	 0.0447588	 0.0000013	 0.0332039	 0.0008739	 0.0006524	 0.0008902	-0.0155845	 0.0008779	-0.0090620	 0.0008869	-0.0211330	 0.0008768	-0.0051970	 0.0008879	 0.0095164	158071
  59.0	 0.5229617	 0.0000011	 0.0635041	 0.0000013	 0.1014751	 0.0000013	 0.0177350	 0.0000013	-0.0129422	 0.0008753	-0.0102706	 0.0008852	-0.0237399	 0.0008739	-0.0057777	 0.0008863	-0.0172362	 0.0008823	-0.0136237	 0.0008780	 0.0078451	154892
  70.8	 0.4058400	 0.0000012	 0.0559869	 0.0000013	 0.0292685	 0.0000013	-0.0006465	 0.0000013	-0.0256138	 0.0008705	-0.0067979	 0.0008853	-0.0183223	 0.0008808	-0.0116952	 0.0008753	-0.0112996	 0.0008797	-0.0117752	 0.0008765	 0.0067303	151712
  82.6	 0.3024199	 0.0000012	 0.0453732	 0.0000013	-0.0059633	 0.0000013	-0.0078926	 0.0000013	-0.0274148	 0.0008717	-0.0044017	 0.0008798	-0.0133704	 0.0008778	-0.0140676	 0.0008742	-0.0153573	 0.0008754	-0.0001454	 0.0008767	 0.0058605	148614
  94.4	 0.2152489	 0.0000012	 0.0344829	 0.0000013	-0.0233663	 0.0000013	-0.0067643	 0.0000013	-0.0232733	 0.0008776	-0.0091314	 0.0008701	-0.0125100	 0.0008754	-0.0084677	 0.0008727	-0.0141752	 0.0008724	 0.0110265	 0.0008757	 0.0051319	145694
 106.2	 0.1450144	 0.0000013	 0.0236716	 0.0000013	-0.0344264	 0.0000013	-0.0034996	 0.0000013	-0.0184241	 0.0008748	-0.0124882	 0.0008691	-0.0168078	 0.0008693	 0.0020984	 0.0008748	 0.0020160	 0.0008699	 0.0185229	 0.0008741	 0.0045265	142684
 118.0	 0.0905686	 0.0000013	 0.0145140	 0.0000013	-0.0402784	 0.0000013	-0.0017766	 0.0000013	-0.0169401	 0.0008754	-0.0091623	 0.0008648	-0.0138597	 0.0008683	 0.0114552	 0.0008720	 0.0078013	 0.0008667	 0.0134946	 0.0008736	 0.0040264	139812
 129.8	 0.0501468	 0.0000013	 0.0067115	 0.0000013	-0.0401478	 0.0000013	-0.0024240	 0.0000013	-0.0171057	 0.0008690	-0.0037771	 0.0008674	-0.0006597	 0.0008670	 0.0169436	 0.0008695	 0.0085069	 0.0008685	 0.0047434	 0.0008682	 0.0036178	136913
 141.6	 0.0211947	 0.0000013	 0.0009993	 0.0000013	-0.0362695	 0.0000013	-0.0045922	 0.0000013	-0.0165116	 0.0008603	 0.0036847	 0.0008724	 0.0061880	 0.0008635	 0.0163814	 0.0008692	 0.0164008	 0.0008675	 0.0081295	 0.0008652	 0.0032802	134048
 153.4	 0.0008264	 0.0000012	-0.0031372	 0.0000013	-0.0316570	 0.0000013	-0.0062445	 0.0000013	-0.0111089	 0.0008610	 0.0094977	 0.0008681	 0.0049898	 0.0008625	 0.0112005	 0.0008666	 0.0099740	 0.0008661	 0.0118237	 0.0008631	 0.0029802	131222
 165.2	-0.0136722	 0.0000012	-0.0053399	 0.0000013	-0.0281859	 0.0000013	-0.0058803	 0.0000012	-0.0010182	 0.0008609	 0.0127923	 0.0008649	 0.0100765	 0.0008645	 0.0067222	 0.0008614	-0.0110516	 0.0008643	 0.0049432	 0.0008615	 0.0027060	128625
 177.0	-0.0247092	 0.0000012	-0.0061847	 0.0000013	-0.0266731	 0.0000013	-0.0046019	 0.0000012	 0.0043727	 0.0008596	 0.0153061	 0.0008629	 0.0169782	 0.0008642	 0.0070281	 0.0008582	-0.0149423	 0.0008633	-0.0044537	 0.0008592	 0.0024734	126053
 188.8	-0.0336911	 0.0000012	-0.0061107	 0.0000013	-0.0262057	 0.0000012	-0.0024901	 0.0000012	 0.0036787	 0.0008570	 0.0160665	 0.0008621	 0.0144137	 0.0008597	 0.0095417	 0.0008595	-0.0063803	 0.0008584	-0.0054417	 0.0008609	 0.0022916	123467
 200.6	-0.0412895	 0.0000012	-0.0054549	 0.0000012	-0.0243825	 0.0000012	 0.0013394	 0.0000012	 0.0029608	 0.0008576	 0.0122061	 0.0008584	-0.0005417	 0.0008567	 0.0090978	 0.0008593	 0.0009251	 0.0008557	-0.0031600	 0.0008603	 0.0021407	120870
 212.4	-0.0474924	 0.0000012	-0.0043906	 0.0000012	-0.0177057	 0.0000012	 0.0060880	 0.0000012	 0.0064632	 0.0008572	 0.0031740	 0.0008555	-0.0120098	 0.0008583	 0.0024132	 0.0008544	 0.0038233	 0.0008558	 0.0009420	 0.0008570	 0.0019923	118292
 224.2	-0.0520804	 0.0000012	-0.0024033	 0.0000012	-0.0068178	 0.0000012	 0.0116492	 0.0000012	 0.0109829	 0.0008548	-0.0044904	 0.0008547	-0.0105197	 0.0008574	-0.0003117	 0.0008522	-0.0006658	 0.0008556	 0.0025980	 0.0008541	 0.0018626	115761
 236.0	-0.0546160	 0.0000012	-0.0005225	 0.0000012	 0.0037411	 0.0000012	 0.0169387	 0.0000012	 0.0107076	 0.0008538	-0.0051683	 0.0008526	-0.0035565	 0.0008524	-0.0001539	 0.0008541	-0.0053823	 0.0008521	 0.0017997	 0.0008544	 0.0017542	113222
 247.8	-0.0551488	 0.0000012	 0.0009646	 0.0000012	 0.0102320	 0.0000012	 0.0213331	 0.0000012	 0.0062313	 0.0008538	-0.0016265	 0.0008497	 0.0035829	 0.0008496	-0.0040205	 0.0008539	-0.0029581	 0.0008515	 0.0031052	 0.0008520	 0.0016709	110804
 259.6	-0.0541950	 0.0000012	 0.0011519	 0.0000012	 0.0104866	 0.0000012	 0.0223439	 0.0000012	 0.0042348	 0.0008524	-0.0005248	 0.0008481	 0.0080894	 0.0008496	-0.0035346	 0.0008507	-0.0012712	 0.0008524	 0.0073859	 0.0008480	 0.0015984	108312
 271.4	-0.0521437	 0.0000012	 0.0004101	 0.0000012	 0.0068584	 0.0000012	 0.0199121	 0.0000012	 0.0043027	 0.0008495	-0.0016388	 0.0008479	 0.0048840	 0.0008485	 0.0016937	 0.0008489	-0.0053048	 0.0008474	 0.0057801	 0.0008500	 0.0015359	105892
 283.2	-0.0488542	 0.0000012	-0.0014823	 0.0000012	 0.0028763	 0.0000012	 0.0149626	 0.0000012	 0.0010800	 0.0008485	-0.0017709	 0.0008462	-0.0050046	 0.0008491	 0.0028132	 0.0008455	-0.0008456	 0.0008471	-0.0002211	 0.0008475	 0.0014764	103567
 295.0	-0.0448944	 0.0000012	-0.0040883	 0.0000012	 0.0010797	 0.0000012	 0.0097858	 0.0000012	-0.0046711	 0.0008464	-0.0048638	 0.0008454	-0.0058628	 0.0008443	 0.0014402	 0.0008475	 0.0053595	 0.0008468	-0.0000181	 0.0008450	 0.0014232	101248
 306.8	-0.0397617	 0.0000012	-0.0069133	 0.0000012	 0.0009618	 0.0000012	 0.0051897	 0.0000012	-0.0098968	 0.0008454	-0.0087818	 0.0008436	 0.0018085	 0.0008441	 0.0023349	 0.0008451	 0.0014808	 0.0008461	-0.0037764	 0.0008430	 0.0013736	99031
 318.6	-0.0335440	 0.0000012	-0.0089820	 0.0000012	 0.0021227	 0.0000012	 0.0023779	 0.0000012	-0.0090748	 0.0008419	-0.0089957	 0.0008444	 0.0031492	 0.0008426	 0.0052694	 0.0008438	 0.0013054	 0.0008426	-0.0069778	 0.0008439	 0.0013304	96804
 330.4	-0.0269133	 0.0000012	-0.0101805	 0.0000012	 0.0033913	 0.0000012	 0.0017224	 0.0000012	-0.0046277	 0.0008413	-0.0059487	 0.0008425	 0.0020630	 0.0008416	 0.0066522	 0.0008422	 0.0039734	 0.0008411	-0.0046749	 0.0008427	 0.0012921	94617
 342.2	-0.0207079	 0.0000012	-0.0106070	 0.0000012	 0.0048977	 0.0000012	 0.0027437	 0.0000012	-0.0008865	 0.0008391	-0.0039264	 0.0008421	 0.0064161	 0.0008391	 0.0014031	 0.0008421	-0.0000713	 0.0008406	-0.0040930	 0.0008406	 0.0012589	92414
 354.0	-0.0140504	 0.0000012	-0.0102600	 0.0000012	 0.0072089	 0.0000012	 0.0046110	 0.0000012	-0.0010105	 0.0008386	-0.0047029	 0.0008401	 0.0067302	 0.0008396	-0.0052929	 0.0008391	-0.0066422	 0.0008398	-0.0031796	 0.0008389	 0.0012250	90336
 365.8	-0.0071070	 0.0000012	-0.0097280	 0.0000012	 0.0087864	 0.0000012	 0.0052224	 0.0000012	 0.0003497	 0.0008394	-0.0053948	 0.0008369	 0.0032066	 0.0008412	-0.0067216	 0.0008351	-0.0071473	 0.0008398	 0.0005036	 0.0008365	 0.0011918	88296
 377.6	-0.0000583	 0.0000012	-0.0088787	 0.0000012	 0.0083392	 0.0000012	 0.0043681	 0.0000012	 0.0025271	 0.0008379	-0.0010293	 0.0008359	 0.0038062	 0.0008406	-0.0041339	 0.0008332	-0.0086609	 0.0008380	 0.0052274	 0.0008357	 0.0011636	86160
 389.4	 0.0065022	 0.0000012	-0.0074647	 0.0000012	 0.0064633	 0.0000012	 0.0036513	 0.0000012	 0.0022404	 0.0008367	 0.0058943	 0.0008347	 0.0070380	 0.0008378	-0.0018358	 0.0008336	-0.0029883	 0.0008373	 0.0052800	 0.0008341	 0.0011337	84101
