4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9646646	 0.0000005	-0.0127430	 0.0000008	 0.8816318	 0.0000007	-0.0230108	 0.0000010	 0.7699628	 0.0004163	-0.0299281	 0.0006854	 0.6457546	 0.0005509	-0.0334543	 0.0007859	 0.5208814	 0.0006619	-0.0340308	 0.0008447	 0.0369468	168249
  23.6	 0.8797413	 0.0000007	-0.0222826	 0.0000010	 0.6429956	 0.0000010	-0.0322795	 0.0000012	 0.4018076	 0.0007457	-0.0318443	 0.0008731	 0.2160287	 0.0008424	-0.0286818	 0.0008887	 0.0958294	 0.0008793	-0.0288689	 0.0008862	 0.0189699	164757
  35.4	 0.7651218	 0.0000009	-0.0278279	 0.0000012	 0.4003767	 0.0000012	-0.0305157	 0.0000013	 0.1477804	 0.0008646	-0.0262079	 0.0008849	 0.0296234	 0.0008848	-0.0299943	 0.0008833	-0.0037137	 0.0008890	-0.0350886	 0.0008796	 0.0125750	161382
  47.2	 0.6378837	 0.0000010	-0.0301891	 0.0000012	 0.2143443	 0.0000013	-0.0252130	 0.0000013	 0.0303469	 0.0008824	-0.0283320	 0.0008812	-0.0032146	 0.0008886	-0.0341878	 0.0008755	 0.0013729	 0.0008858	-0.0276238	 0.0008786	 0.0095167	158071
  59.0	 0.5116386	 0.0000011	-0.0298541	 0.0000013	 0.0959155	 0.0000013	-0.0223022	 0.0000013	-0.0000086	 0.0008844	-0.0324467	 0.0008754	 0.0014538	 0.0008834	-0.0278393	 0.0008767	 0.0020016	 0.0008771	-0.0088961	 0.0008835	 0.0077624	154892
  70.8	 0.3957097	 0.0000012	-0.0275031	 0.0000013	 0.0333510	 0.0000013	-0.0236855	 0.0000013	 0.0022180	 0.0008862	-0.0312686	 0.0008693	 0.0005213	 0.0008760	-0.0135392	 0.0008803	 0.0097852	 0.0008761	 0.0051177	 0.0008803	 0.0064666	151712
  82.6	 0.2960497	 0.0000012	-0.0234510	 0.0000013	 0.0083918	 0.0000013	-0.0267453	 0.0000013	 0.0025304	 0.0008769	-0.0256847	 0.0008748	 0.0052810	 0.0008725	 0.0022008	 0.0008797	 0.0188806	 0.0008787	 0.0053669	 0.0008732	 0.0055852	148614
  94.4	 0.2147339	 0.0000013	-0.0193331	 0.0000013	 0.0041568	 0.0000013	-0.0288198	 0.0000013	-0.0003080	 0.0008719	-0.0157956	 0.0008762	 0.0144774	 0.0008760	 0.0079197	 0.0008721	 0.0079885	 0.0008772	 0.0038021	 0.0008711	 0.0049387	145694
 106.2	 0.1510672	 0.0000013	-0.0157287	 0.0000013	 0.0071247	 0.0000013	-0.0282658	 0.0000013	 0.0022284	 0.0008690	-0.0032794	 0.0008753	 0.0189775	 0.0008753	 0.0057880	 0.0008686	-0.0068637	 0.0008735	 0.0045170	 0.0008708	 0.0044319	142684
 118.0	 0.1036794	 0.0000013	-0.0134323	 0.0000013	 0.0082026	 0.0000013	-0.0259385	 0.0000013	 0.0101255	 0.0008679	 0.0054100	 0.0008725	 0.0067227	 0.0008725	 0.0051472	 0.0008679	-0.0057890	 0.0008709	-0.0001044	 0.0008696	 0.0040254	139812
