4608	# No of dislocations in the cell
800000	# Np of point-pairs
  3200	# Square
 2	 0	 0	# diffraction vector, g:
 1	-1	-2	# line vector, l:
0.202470	0.202470	0.000000	# Burgers vector, b in [nm] 
0.266310	# C_factor/ nu = 0.345000
0.404940	# lattice parameter, [nm]
L	cos_AL	err_Cos	sin_AL	err_Sin	Cos_2AL	err_Cos_2AL	Sin_2AL	err_Sin_2AL	Cos_3AL	err_Cos_3AL	Sin_3AL	err_Sin_3AL	Cos_4AL	err_Cos_4AL	Sin_4AL	err_Sin_4AL	Cos_5AL	err_Cos_5AL	Sin_5AL	err_Sin_5AL	<eps^2>	bad_points
  11.8	 0.9681821	 0.0000005	-0.0289375	 0.0000008	 0.8954898	 0.0000007	-0.0544022	 0.0000010	 0.7981580	 0.0003942	-0.0748015	 0.0006405	 0.6889036	 0.0005203	-0.0896978	 0.0007404	 0.5771024	 0.0006305	-0.0994219	 0.0008016	 0.0333755	168249
  23.6	 0.8933595	 0.0000007	-0.0530429	 0.0000010	 0.6858516	 0.0000010	-0.0872733	 0.0000012	 0.4669932	 0.0007209	-0.1006807	 0.0008338	 0.2896295	 0.0008318	-0.0972199	 0.0008576	 0.1680239	 0.0008783	-0.0822167	 0.0008647	 0.0157219	164757
  35.4	 0.7927413	 0.0000009	-0.0708023	 0.0000011	 0.4646068	 0.0000012	-0.0979700	 0.0000013	 0.2192670	 0.0008601	-0.0884374	 0.0008594	 0.0954451	 0.0008878	-0.0594829	 0.0008706	 0.0515099	 0.0008867	-0.0240486	 0.0008801	 0.0099191	161382
  47.2	 0.6794136	 0.0000010	-0.0819473	 0.0000012	 0.2843060	 0.0000013	-0.0930056	 0.0000013	 0.0935143	 0.0008857	-0.0592573	 0.0008685	 0.0458531	 0.0008817	-0.0153879	 0.0008814	 0.0356619	 0.0008786	 0.0084662	 0.0008853	 0.0073395	158071
  59.0	 0.5639433	 0.0000011	-0.0873521	 0.0000012	 0.1614747	 0.0000013	-0.0797557	 0.0000013	 0.0505506	 0.0008810	-0.0270065	 0.0008769	 0.0353868	 0.0008752	 0.0077486	 0.0008843	 0.0216742	 0.0008801	 0.0059044	 0.0008802	 0.0057923	154892
  70.8	 0.4542880	 0.0000012	-0.0885807	 0.0000013	 0.0903313	 0.0000013	-0.0609866	 0.0000013	 0.0397112	 0.0008729	-0.0024669	 0.0008821	 0.0259070	 0.0008784	 0.0081278	 0.0008774	 0.0049139	 0.0008756	-0.0021319	 0.0008808	 0.0047424	151712
  82.6	 0.3555632	 0.0000012	-0.0867971	 0.0000013	 0.0557115	 0.0000013	-0.0396438	 0.0000013	 0.0338531	 0.0008704	 0.0091830	 0.0008807	 0.0113121	 0.0008752	 0.0005092	 0.0008769	-0.0082677	 0.0008746	 0.0034004	 0.0008776	 0.0039891	148614
  94.4	 0.2706361	 0.0000013	-0.0826207	 0.0000013	 0.0425696	 0.0000013	-0.0186798	 0.0000013	 0.0264885	 0.0008742	 0.0099215	 0.0008735	-0.0024139	 0.0008702	 0.0010794	 0.0008781	-0.0131911	 0.0008719	 0.0060296	 0.0008762	 0.0034502	145694
 106.2	 0.2007415	 0.0000013	-0.0768288	 0.0000013	 0.0374218	 0.0000013	-0.0019857	 0.0000013	 0.0179059	 0.0008729	 0.0047351	 0.0008711	-0.0129268	 0.0008711	 0.0052275	 0.0008731	-0.0036059	 0.0008682	 0.0032626	 0.0008761	 0.0030230	142684
 118.0	 0.1457890	 0.0000013	-0.0695369	 0.0000013	 0.0336197	 0.0000013	 0.0094106	 0.0000013	 0.0069446	 0.0008673	 0.0006519	 0.0008732	-0.0149075	 0.0008684	 0.0085486	 0.0008719	 0.0061322	 0.0008692	 0.0054786	 0.0008713	 0.0027026	139812
 129.8	 0.1048042	 0.0000013	-0.0600642	 0.0000013	 0.0301375	 0.0000013	 0.0141344	 0.0000013	-0.0035490	 0.0008641	 0.0016155	 0.0008726	-0.0068976	 0.0008633	 0.0061991	 0.0008733	 0.0010747	 0.0008683	 0.0126222	 0.0008683	 0.0024719	136913
 141.6	 0.0759118	 0.0000013	-0.0492180	 0.0000013	 0.0276334	 0.0000013	 0.0129080	 0.0000013	-0.0131680	 0.0008626	 0.0061540	 0.0008701	 0.0042495	 0.0008619	 0.0040095	 0.0008710	-0.0062550	 0.0008633	 0.0146700	 0.0008694	 0.0022685	134048
 153.4	 0.0570206	 0.0000013	-0.0378957	 0.0000012	 0.0244443	 0.0000013	 0.0083800	 0.0000013	-0.0185755	 0.0008626	 0.0085421	 0.0008663	 0.0065265	 0.0008637	 0.0070067	 0.0008655	-0.0053897	 0.0008647	 0.0120660	 0.0008645	 0.0020868	131222
 165.2	 0.0455268	 0.0000013	-0.0261278	 0.0000012	 0.0194962	 0.0000013	 0.0031748	 0.0000013	-0.0174152	 0.0008617	 0.0066165	 0.0008640	 0.0002353	 0.0008653	 0.0096754	 0.0008606	-0.0061728	 0.0008613	 0.0108378	 0.0008645	 0.0019305	128625
 177.0	 0.0392512	 0.0000013	-0.0146943	 0.0000012	 0.0136833	 0.0000012	 0.0008833	 0.0000012	-0.0066511	 0.0008591	 0.0050386	 0.0008635	-0.0021916	 0.0008598	 0.0056004	 0.0008628	-0.0040063	 0.0008611	 0.0053085	 0.0008616	 0.0017986	126053
 188.8	 0.0365280	 0.0000012	-0.0040221	 0.0000012	 0.0062850	 0.0000012	 0.0016389	 0.0000012	 0.0039358	 0.0008589	 0.0042132	 0.0008604	 0.0010693	 0.0008589	 0.0029003	 0.0008604	-0.0010090	 0.0008597	-0.0032826	 0.0008596	 0.0016766	123467
 200.6	 0.0357576	 0.0000012	 0.0048841	 0.0000012	-0.0031616	 0.0000012	 0.0028994	 0.0000012	 0.0069962	 0.0008583	 0.0029159	 0.0008578	 0.0039192	 0.0008585	 0.0035642	 0.0008576	-0.0051458	 0.0008586	-0.0037513	 0.0008574	 0.0015601	120870
 212.4	 0.0354601	 0.0000012	 0.0115729	 0.0000012	-0.0133166	 0.0000012	 0.0031188	 0.0000012	 0.0038363	 0.0008583	-0.0011048	 0.0008546	 0.0050203	 0.0008553	 0.0017091	 0.0008575	-0.0052595	 0.0008574	-0.0041017	 0.0008554	 0.0014598	118292
 224.2	 0.0351036	 0.0000012	 0.0157083	 0.0000012	-0.0213559	 0.0000012	 0.0019722	 0.0000012	-0.0020201	 0.0008569	-0.0056587	 0.0008528	 0.0038931	 0.0008536	-0.0032816	 0.0008561	-0.0003581	 0.0008552	-0.0040764	 0.0008544	 0.0013676	115761
 236.0	 0.0354365	 0.0000012	 0.0169601	 0.0000012	-0.0237949	 0.0000012	-0.0012009	 0.0000012	-0.0077362	 0.0008519	-0.0076206	 0.0008545	 0.0003314	 0.0008548	-0.0062574	 0.0008516	 0.0009171	 0.0008518	-0.0011271	 0.0008547	 0.0012985	113222
 247.8	 0.0368957	 0.0000012	 0.0158369	 0.0000012	-0.0210630	 0.0000012	-0.0041008	 0.0000012	-0.0091858	 0.0008500	-0.0075050	 0.0008533	-0.0064280	 0.0008506	-0.0037985	 0.0008529	-0.0054206	 0.0008542	 0.0003558	 0.0008493	 0.0012397	110804
 259.6	 0.0392599	 0.0000012	 0.0122635	 0.0000012	-0.0126829	 0.0000012	-0.0045233	 0.0000012	-0.0045692	 0.0008498	-0.0054087	 0.0008506	-0.0122357	 0.0008486	 0.0001255	 0.0008517	-0.0083155	 0.0008506	-0.0032496	 0.0008498	 0.0011960	108312
 271.4	 0.0431996	 0.0000012	 0.0070810	 0.0000012	-0.0020345	 0.0000012	-0.0032178	 0.0000012	 0.0022810	 0.0008479	-0.0016206	 0.0008496	-0.0126873	 0.0008493	 0.0003035	 0.0008481	-0.0015992	 0.0008477	-0.0036523	 0.0008498	 0.0011501	105892
 283.2	 0.0469935	 0.0000012	 0.0007905	 0.0000012	 0.0081550	 0.0000012	-0.0017195	 0.0000012	 0.0071627	 0.0008467	 0.0010050	 0.0008479	-0.0073632	 0.0008483	-0.0017652	 0.0008462	 0.0033265	 0.0008470	 0.0002968	 0.0008476	 0.0010971	103567
 295.0	 0.0506607	 0.0000012	-0.0057682	 0.0000012	 0.0158427	 0.0000012	-0.0008823	 0.0000012	 0.0096609	 0.0008488	 0.0015121	 0.0008429	-0.0054264	 0.0008479	-0.0033307	 0.0008439	 0.0034403	 0.0008457	 0.0027469	 0.0008461	 0.0010466	101248
 306.8	 0.0534328	 0.0000012	-0.0123759	 0.0000012	 0.0201577	 0.0000012	-0.0000925	 0.0000012	 0.0112155	 0.0008481	 0.0002547	 0.0008410	-0.0085122	 0.0008455	-0.0013051	 0.0008436	 0.0020528	 0.0008439	 0.0027819	 0.0008452	 0.0009984	99031
 318.6	 0.0542587	 0.0000012	-0.0181708	 0.0000012	 0.0197772	 0.0000012	 0.0011982	 0.0000012	 0.0135117	 0.0008446	-0.0010116	 0.0008417	-0.0093013	 0.0008439	 0.0013414	 0.0008425	 0.0062282	 0.0008444	 0.0049616	 0.0008420	 0.0009526	96804
 330.4	 0.0529495	 0.0000012	-0.0229544	 0.0000012	 0.0149223	 0.0000012	 0.0016413	 0.0000012	 0.0140717	 0.0008420	-0.0016946	 0.0008416	-0.0065819	 0.0008437	 0.0014470	 0.0008401	 0.0073353	 0.0008413	 0.0034400	 0.0008425	 0.0009103	94617
 342.2	 0.0496986	 0.0000012	-0.0265362	 0.0000012	 0.0064010	 0.0000012	 0.0007919	 0.0000012	 0.0097176	 0.0008410	-0.0015439	 0.0008401	-0.0076101	 0.0008413	 0.0011444	 0.0008399	 0.0030523	 0.0008420	-0.0006737	 0.0008393	 0.0008701	92414
 354.0	 0.0443144	 0.0000012	-0.0287104	 0.0000012	-0.0036054	 0.0000012	-0.0009761	 0.0000012	 0.0020978	 0.0008411	-0.0012147	 0.0008376	-0.0081388	 0.0008391	 0.0034350	 0.0008396	 0.0017094	 0.0008394	-0.0019352	 0.0008394	 0.0008324	90336
 365.8	 0.0365209	 0.0000012	-0.0289676	 0.0000012	-0.0120287	 0.0000012	-0.0034655	 0.0000012	-0.0030952	 0.0008398	-0.0006177	 0.0008366	-0.0050972	 0.0008387	 0.0088205	 0.0008375	-0.0010959	 0.0008399	-0.0021448	 0.0008365	 0.0007996	88296
 377.6	 0.0268997	 0.0000012	-0.0282266	 0.0000012	-0.0167008	 0.0000012	-0.0062467	 0.0000012	-0.0056993	 0.0008382	-0.0007292	 0.0008356	-0.0019384	 0.0008389	 0.0115113	 0.0008348	-0.0007034	 0.0008374	-0.0041997	 0.0008364	 0.0007684	86160
