                                                                     distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 2.1595677e-01; 6.5904466e-02; 0.0000000e+00; 1.3095335e-01; 1.8166264e+00; 0.0000000e+00; 9.0956362e-01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_t_1.3196601e00_nm_output_analysis; 1.0218595e-01; 1.1770135e-01; 0.0000000e+00; 6.4180689e-02; 8.3176078e+00; 0.0000000e+00; 4.4886546e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 8.0818955e-02; 1.0593944e-01; 0.0000000e+00; 2.3506020e-01; 1.4929243e+00; 0.0000000e+00; 9.2660698e-01
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 7.5013412e-02; 3.0654290e-02; 0.0000000e+00; 6.2876627e-02; 3.0869655e+00; 0.0000000e+00; 1.8786950e+00
RCDD-E_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 2.9037315e-01; 2.5643876e-02; 2.2770639e-03; 8.0930920e-02; 1.3539205e+00; 1.6367308e-01; 1.0799058e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 2.2201099e-02; 7.4325718e-02; 0.0000000e+00; 8.4208762e-02; 7.7115507e+00; 0.0000000e+00; 2.2191401e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 5.2695999e-01; 6.2122448e-02; 0.0000000e+00; 1.4328645e-01; 4.0380838e+00; 0.0000000e+00; 1.9482885e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_t_2.6393202e00_nm_output_analysis; 9.7408250e-02; 1.1193086e-01; 0.0000000e+00; 8.8957146e-02; 1.3126330e+01; 0.0000000e+00; 1.1576473e+01
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 2.3809742e+00; 3.0119659e-01; 0.0000000e+00; 2.1623039e-01; 9.1267229e+00; 0.0000000e+00; 1.7003489e+00
RCDD-E_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 4.7764235e-01; 2.2248100e-02; 1.4813904e-03; 7.1047636e-02; 4.1901946e+00; 4.2344075e-01; 4.2018407e+00
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 1.3507387e-02; 2.4353100e-02; 1.5264887e-03; 7.7663730e-02; 1.0670609e+01; 8.9515954e-01; 9.1227626e+00
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 3.5519094e-02; 1.0016122e-01; 0.0000000e+00; 7.3240451e-02; 1.8448836e+01; 0.0000000e+00; 3.6280984e+00
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 2.4319752e+00; 2.0297653e-01; 0.0000000e+00; 1.2890914e-01; 2.2385034e+01; 0.0000000e+00; 3.5150520e+00
